ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430395390947,-9.77941,-0.520488,-0.703382,-0.00831159,0.0214024,-0.0058845,0.832551,-0.0629178,0.655606
01324188,1430395390947,-9.70817,0.986586,-0.970713,-0.000531878,-0.0081594,-0.00438112,0.763871,-0.107151,0.599709
01324180,1430395390947,-9.19745,2.75108,2.23266,-0.00297723,0.00956738,0.0010036,0.728722,-0.599261,0.135616
01324189,1430395390950,-9.77733,-0.455022,-0.69839,0.000643735,0.0213369,0.0136904,0.83172,-0.0591633,0.654843
01324188,1430395390950,-9.71772,1.02028,-0.956505,-0.00580796,0.00766168,-0.00778639,0.763011,-0.0980628,0.596951
01324180,1430395390950,-9.11483,2.70318,2.28879,-0.0083344,0.013796,0.00624378,0.725331,-0.592556,0.132177
01324189,1430395390966,-9.78238,-0.423544,-0.698239,-0.0115693,0.00419435,0.00835129,0.832278,-0.0593282,0.653499
01324188,1430395390966,-9.68371,1.06818,-0.928328,0.002856,0.025424,-0.0146093,0.762342,-0.0983023,0.596145
01324180,1430395390966,-9.10443,2.64774,2.29342,-0.0204962,-0.00588686,0.0235958,0.723998,-0.591803,0.130735
01324189,1430395390982,-9.81131,-0.421164,-0.68806,-0.00473192,0.0110268,0.00125954,0.83269,-0.06192,0.654676
01324188,1430395390982,-9.7271,1.11115,-0.844154,-0.00583533,0.028714,-0.0111016,0.762519,-0.105278,0.597176
01324180,1430395390982,-9.17861,2.60142,2.25378,-0.0100442,0.0139057,0.000948136,0.726275,-0.594457,0.134272
01324189,1430395390998,-9.76989,-0.445164,-0.68144,-0.00648773,0.0110336,-0.000530814,0.833926,-0.0625321,0.653722
01324188,1430395390998,-9.73691,1.07248,-0.824475,0.00295181,0.0263438,0.00132246,0.765198,-0.104285,0.596538
01324180,1430395390998,-9.20064,2.62047,2.25367,-0.00643532,0.00512222,0.00267736,0.726394,-0.593893,0.135891
01324189,1430395391014,-9.78219,-0.430735,-0.688522,-0.00640344,0.0162235,0.00656946,0.834859,-0.0625469,0.655716
01324188,1430395391014,-9.74678,1.01915,-0.778193,0.0116858,0.0196008,-0.00223243,0.763717,-0.103996,0.600172
01324180,1430395391014,-9.21879,2.7145,2.24434,0.010829,0.0155353,0.0116782,0.728139,-0.595513,0.136773
01324189,1430395391029,-9.78671,-0.459752,-0.678787,-0.0116946,0.00936584,-0.000541705,0.832245,-0.0577348,0.655917
01324188,1430395391029,-9.74685,0.991115,-0.907885,-0.0144646,0.0172397,0.008186,0.764244,-0.10221,0.598811
01324180,1430395391029,-9.20651,2.7076,2.22509,0.00378548,0.0154447,0.0151452,0.728148,-0.594772,0.133299
01324189,1430395391045,-9.77671,-0.532476,-0.688847,-0.0167447,0.0111562,0.0100983,0.832128,-0.059174,0.654838
01324188,1430395391045,-9.73735,0.942857,-0.907521,-0.0285113,0.0217065,-0.0113288,0.763172,-0.102449,0.598143
01324180,1430395391045,-9.22575,2.70265,2.21521,-0.00121953,0.00330253,0.00799841,0.726546,-0.594748,0.133994
01324189,1430395391061,-9.75801,-0.469556,-0.708452,-0.0220936,0.0163731,0.00295836,0.831885,-0.0624775,0.653879
01324188,1430395391061,-9.70595,0.937855,-0.898095,-0.0214936,0.0144798,-0.00604522,0.762381,-0.104676,0.596682
01324180,1430395391061,-9.21088,2.67378,2.22244,-0.00848775,0.0153652,0.0168179,0.726553,-0.594886,0.132918
01324189,1430395391077,-9.77692,-0.464519,-0.674078,-0.0168446,0.00424378,0.00300263,0.832814,-0.0620605,0.65601
01324188,1430395391077,-9.67933,0.942847,-0.936851,-0.018852,0.00386156,-0.00259917,0.764663,-0.104788,0.598246
01324180,1430395391077,-9.23714,2.64441,2.23169,-0.0188789,0.0155372,0.00620233,0.726158,-0.595166,0.132784
01324189,1430395391093,-9.7625,-0.452364,-0.676701,-0.011534,0.0162813,0.0118795,0.833911,-0.062094,0.655062
01324188,1430395391093,-9.67924,0.966825,-0.917818,-0.0232192,0.0175697,0.00106055,0.764532,-0.10538,0.598611
01324180,1430395391093,-9.17168,2.62066,2.26845,-0.0287784,0.031153,0.0115034,0.726441,-0.596758,0.13315
01324189,1430395391109,-9.76312,-0.433253,-0.710723,-0.00478468,0.0222311,-0.000547854,0.833221,-0.060495,0.655083
01324188,1430395391109,-9.73699,1.04855,-0.850729,-0.00833515,0.0120411,0.00816967,0.762885,-0.0995983,0.598989
01324180,1430395391109,-9.14293,2.62536,2.31226,-0.0287968,0.0292779,0.0167596,0.726136,-0.594024,0.134551
01324189,1430395391126,-9.79189,-0.406469,-0.678582,-0.00915553,0.0110618,-0.00408982,0.832528,-0.0596105,0.655899
