ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430392247824,-9.77073,0.443746,0.0300988,-0.00458583,-0.01808,-0.0248464,1.02051,0.312192,-0.223886
01324188,1430392247824,-9.44854,-0.96063,-2.30081,-0.0358582,0.009332,-0.013563,0.755047,0.517518,0.124951
01324180,1430392247824,-8.49324,4.18571,3.55736,0.0440278,0.0264603,0.07931,0.898936,0.0273543,-0.0342914
01324189,1430392247827,-9.80473,0.39736,0.00372872,-0.0148141,-0.00931633,-0.00978669,1.02239,0.318704,-0.226381
01324188,1430392247827,-9.48733,-0.989706,-2.25934,-0.074307,0.0170537,-0.0296773,0.754353,0.521713,0.124555
01324180,1430392247827,-8.52069,4.40679,3.62114,-0.09468,0.0403928,0.102328,0.898892,0.0325498,-0.0378015
01324189,1430392247843,-9.79526,0.460489,0.0159055,-0.008071,0.00440674,-0.021342,1.02589,0.31235,-0.221155
01324188,1430392247843,-9.52651,-1.1249,-2.21209,-0.107478,0.0243151,-0.0369071,0.75571,0.517871,0.129474
01324180,1430392247843,-8.52479,4.33629,3.66421,-0.240004,0.0659929,0.153441,0.899245,0.026381,-0.04074
01324189,1430392247859,-9.81908,0.431432,0.0307995,-0.0306614,0.0167356,-0.0196586,1.02564,0.304507,-0.218955
01324188,1430392247859,-9.5365,-1.21423,-2.18954,-0.131959,0.0318669,-0.049381,0.758958,0.510957,0.131793
01324180,1430392247859,-8.48904,4.08732,3.96769,-0.33911,0.0703958,0.172117,0.899578,0.0200426,-0.0392646
01324189,1430392247875,-9.79424,0.388117,0.0546607,-0.0427505,0.0116848,-0.0161398,1.0247,0.307379,-0.221181
01324188,1430392247875,-9.51259,-1.28675,-2.17463,-0.127704,0.0467948,-0.0686532,0.75707,0.513734,0.131457
01324180,1430392247875,-8.18278,4.07145,4.21226,-0.456586,0.0837736,0.177548,0.898365,0.0198971,-0.0353682
01324189,1430392247891,-9.78517,0.407267,0.0204944,-0.0202604,0.0200683,-0.0214132,1.02066,0.31161,-0.225089
01324188,1430392247891,-9.54403,-1.29149,-2.16953,-0.135514,0.034437,-0.0653067,0.755439,0.518405,0.130439
01324180,1430392247891,-8.13508,4.10978,4.75427,-0.613008,0.137366,0.177812,0.899007,0.0210244,-0.0334813
01324189,1430392247906,-9.78825,0.433636,-0.0134712,-0.0219845,0.0131783,-0.0205179,1.02117,0.320587,-0.227815
01324188,1430392247906,-9.51724,-1.23151,-2.14141,-0.0962411,0.0292102,-0.0633237,0.752196,0.524057,0.130562
01324180,1430392247906,-7.2908,4.03004,5.47741,-0.70705,0.184354,0.249426,0.896895,0.0190368,-0.0313485
01324189,1430392247922,-9.75791,0.430702,-0.0942553,-0.0288056,0.0201522,-0.00901089,1.02102,0.318604,-0.224905
01324188,1430392247922,-9.47584,-1.15616,-2.2507,-0.0726591,0.0233797,-0.0508306,0.752472,0.522552,0.131924
01324180,1430392247922,-7.26045,4.36465,6.28913,-0.824165,0.261239,0.316114,0.896953,0.0132756,-0.029456
01324189,1430392247938,-9.78156,0.401742,-0.0671941,-0.029216,0.0166708,-0.0392078,1.02478,0.312109,-0.217822
01324188,1430392247938,-9.43958,-1.15162,-2.22937,-0.0673864,0.0382731,-0.0364655,0.754508,0.516813,0.137249
01324180,1430392247938,-7.9345,4.96167,7.98958,-1.04051,0.317408,0.382251,0.899545,0.00339886,-0.0196512
01324189,1430392247954,-9.87779,0.401692,-0.0219311,-0.0229764,0.00283627,-0.0311459,1.0267,0.309621,-0.219591
01324188,1430392247954,-9.56089,-1.27663,-2.21766,-0.0927245,0.0524365,-0.0418079,0.756112,0.516835,0.136169
01324180,1430392247954,-9.37583,5.35492,9.84818,-1.39664,0.256176,0.420429,0.898012,-0.00203991,-0.0189339
01324189,1430392247970,-9.85294,0.402141,0.0215054,-0.0220953,0.0183674,-0.0285107,1.02481,0.311666,-0.22075
01324188,1430392247970,-9.67253,-1.40607,-2.26615,-0.0821904,0.0396708,-0.0294975,0.754233,0.517951,0.137587
01324180,1430392247970,-10.3648,5.40697,11.1438,-1.81756,0.040877,0.485944,0.897005,-0.00778482,-0.0166241
01324189,1430392247986,-9.79446,0.366118,0.0302725,-0.0231465,0.0252533,-0.040976,1.02415,0.316233,-0.225491
01324188,1430392247986,-9.58162,-1.66266,-2.16587,-0.0287843,0.0344039,0.00623162,0.751548,0.520495,0.133268
01324180,1430392247986,-11.2819,6.75353,11.9929,-2.20588,-0.22026,0.669454,0.890314,-0.0119385,-0.0234356
01324189,1430392248003,-9.74695,0.334201,-0.0484058,-0.0325178,0.0218948,-0.0276843,1.02194,0.319447,-0.223048
01324188,1430392248003,-9.52395,-1.76139,-2.21355,0.0201065,0.0389035,0.0216734,0.752881,0.520774,0.136054
01324180,1430392248003,-12.6773,8.081,12.7454,-2.67178,-0.504269,0.934175,0.888501,-0.0256827,-0.0270286
01324189,1430392248019,-9.84493,0.333178,-0.124814,-0.0184966,0.0252286,-0.0178528,1.02111,0.321619,-0.221692
01324188,1430392248019,-9.36897,-1.70922,-2.51844,0.00267559,0.0138675,0.0328109,0.751142,0.521324,0.13412
01324180,1430392248019,-13.4634,6.85548,13.6397,-2.83195,-0.839044,1.14872,0.890049,-0.0395826,-0.0385706
01324189,1430392248036,-9.86851,0.221593,-0.129591,-0.00458524,0.0130008,-0.0213313,1.02378,0.317003,-0.215911
01324188,1430392248036,-9.35846,-1.48861,-2.69859,0.0375137,0.01385,0.0348163,0.754103,0.517572,0.136505
01324180,1430392248036,-14.2684,5.35013,14.7256,-2.69395,-1.24583,1.24501,0.887187,-0.0586693,-0.0591194
