ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430391903057,-9.76698,0.580081,-0.144446,0.0122083,0.0180885,0.00825627,0.88938,0.166698,-0.309592
01324188,1430391903057,-9.59441,-0.786994,-2.12836,0.00417133,0.00681938,0.0306364,0.804964,0.432013,0.0674287
01324180,1430391903057,-8.66751,3.37171,3.4885,-0.0398596,0.0217132,-0.0227274,0.933986,0.0319659,-0.163538
01324189,1430391903060,-9.75387,0.681464,-0.197947,-0.010384,0.0157264,0.0108458,0.889674,0.174325,-0.316933
01324188,1430391903060,-9.51435,-0.700902,-2.06961,0.015473,0.00148774,0.016503,0.805998,0.437847,0.0616922
01324180,1430391903060,-8.69676,3.36588,3.55102,-0.0466846,0.0183767,-0.0333386,0.935858,0.0337005,-0.172058
01324189,1430391903076,-9.77601,0.603384,-0.256209,-0.0206368,0.00807734,0.0214914,0.888454,0.174362,-0.315862
01324188,1430391903076,-9.47777,-0.620603,-2.19575,-0.00544785,0.00594209,0.0296891,0.805335,0.437262,0.0621933
01324180,1430391903076,-8.68203,3.3566,3.53178,-0.0469959,0.0358028,-0.0279492,0.934112,0.0360201,-0.171987
01324189,1430391903092,-9.80693,0.525768,-0.251059,-0.00669005,0.0217563,0.0250735,0.889112,0.168121,-0.310502
01324188,1430391903092,-9.47327,-0.718939,-2.2719,0.00502441,-0.00451794,0.0305359,0.805894,0.432494,0.0659923
01324180,1430391903092,-8.61885,3.32817,3.55157,-0.0520283,0.0226774,-0.0307316,0.93543,0.0355561,-0.170017
01324189,1430391903108,-9.8138,0.496783,-0.236422,0.0108291,0.0224539,0.0340173,0.888589,0.167702,-0.311821
01324188,1430391903108,-9.5122,-0.786608,-2.22766,0.0171521,0.0221476,0.0202868,0.806691,0.432909,0.066008
01324180,1430391903108,-8.6035,3.25564,3.58032,-0.0371668,0.0181733,-0.0227782,0.935173,0.0349899,-0.17029
01324189,1430391903124,-9.79597,0.651601,-0.275263,0.00884443,0.0146746,0.0189156,0.889108,0.168264,-0.310237
01324188,1430391903124,-9.50225,-0.705001,-2.18036,0.0223909,0.00863226,0.0130922,0.807356,0.433017,0.0665353
01324180,1430391903124,-8.51582,3.21827,3.55922,-0.0154385,0.00716538,0.00538577,0.935174,0.0344097,-0.16897
01324189,1430391903140,-9.8086,0.724191,-0.279768,-0.00335969,0.0217085,0.018863,0.889525,0.170654,-0.313129
01324188,1430391903140,-9.53074,-0.555746,-2.13336,0.0223438,0.0211891,0.00613972,0.806148,0.434933,0.0627014
01324180,1430391903140,-8.49085,3.16564,3.54226,0.00905092,-0.00537105,0.0230171,0.935128,0.0388545,-0.170347
01324189,1430391903156,-9.79846,0.724484,-0.248281,0.00345149,0.0147182,0.00734753,0.889929,0.170502,-0.313135
01324188,1430391903156,-9.58881,-0.563519,-2.02455,0.0015079,0.0305671,0.0255608,0.805619,0.434352,0.0630689
01324180,1430391903156,-8.52956,3.1751,3.51777,0.00897151,-0.0127053,0.03968,0.934877,0.0377134,-0.170232
01324189,1430391903172,-9.78713,0.613607,-0.183003,0.00359214,0.0164598,0.0144525,0.890474,0.167226,-0.311846
01324188,1430391903172,-9.54107,-0.745849,-2.17968,-0.0159357,-0.00900455,0.0161721,0.806303,0.431077,0.0655036
01324180,1430391903172,-8.47201,3.20945,3.52818,0.0158359,-0.00215251,0.0389138,0.935433,0.0354153,-0.170419
01324189,1430391903188,-9.79591,0.504665,-0.168527,-0.0190284,0.0287807,0.01258,0.890469,0.167512,-0.311579
01324188,1430391903188,-9.47356,-0.800981,-2.26152,0.00489889,0.0157149,0.00951871,0.807235,0.431445,0.0633993
01324180,1430391903188,-8.37491,3.18157,3.53381,0.0118074,-0.00150998,0.00545664,0.935978,0.0336827,-0.169395
01324189,1430391903204,-9.78722,0.567363,-0.209883,-0.00668282,0.0234845,0.025955,0.889925,0.166822,-0.31039
01324188,1430391903204,-9.50235,-0.7339,-2.18491,0.0353759,0.0234019,-0.00258653,0.80737,0.431169,0.0631162
01324180,1430391903204,-8.40801,3.13815,3.49459,-0.0047379,-0.0121784,0.0105489,0.934926,0.0332733,-0.169655
01324189,1430391903221,-9.75998,0.692897,-0.280576,-0.0067766,0.0269175,0.0232751,0.889931,0.168093,-0.311833
01324188,1430391903221,-9.53117,-0.676464,-2.1082,0.00133212,0.0239038,-0.0134415,0.804958,0.433482,0.0635524
01324180,1430391903221,-8.43646,3.10428,3.46996,-0.00115568,-0.00658192,-0.00521577,0.935816,0.0364071,-0.169872
01324189,1430391903237,-9.78295,0.618123,-0.226864,-0.013699,0.0270026,0.0232579,0.890059,0.167809,-0.311044
01324188,1430391903237,-9.5894,-0.729763,-2.03989,-0.00556186,0.0189104,-0.00116106,0.806025,0.433179,0.0635206
01324180,1430391903237,-8.4505,3.07037,3.4648,0.00262722,-0.0186267,-0.0158312,0.933713,0.0357338,-0.170788
01324189,1430391903254,-9.75317,0.560294,-0.203113,0.00884368,0.0267574,0.0179985,0.890194,0.166531,-0.310263
01324188,1430391903254,-9.53593,-0.661413,-2.19011,0.0100472,0.0152328,-0.0134771,0.807235,0.431247,0.0645771
01324180,1430391903254,-8.55791,3.1365,3.48345,0.0184079,-0.0185277,-0.0174485,0.934506,0.0344135,-0.167628
01324189,1430391903271,-9.76698,0.69058,-0.263439,-0.0171286,0.039123,0.0303269,0.891013,0.164804,-0.31055
01324188,1430391903271,-9.48255,-0.60823,-2.23914,0.0292357,0.0235726,-0.00616701,0.806166,0.431861,0.064099
01324180,1430391903271,-8.59731,3.16676,3.54606,0.0262276,-0.0132563,-0.0173459,0.933958,0.0361407,-0.167719
