ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430391857040,-9.79391,-0.0991658,-0.331311,-0.00989037,0.00178045,0.0088666,0.873214,-0.377796,0.156212
01324188,1430391857040,-9.51264,-0.851027,-2.35699,-0.0476718,0.00948974,-0.00505338,0.872153,-0.308666,0.139638
01324180,1430391857040,-8.53363,3.61666,3.09679,-0.000226671,0.0322082,0.0213003,0.574867,-0.517473,-0.56685
01324189,1430391857043,-9.78592,0.0409396,-0.387076,-0.0186114,0.0156761,0.0123612,0.873736,-0.374121,0.155575
01324188,1430391857043,-9.48383,-0.902097,-2.30863,-0.0406811,0.00272997,-0.00861467,0.872113,-0.301775,0.136227
01324180,1430391857043,-8.47939,3.54255,3.08966,0.0109532,0.0363755,0.0336778,0.572767,-0.516258,-0.572655
01324189,1430391857059,-9.81032,0.031013,-0.403767,-0.0255213,0.0183458,0.0158914,0.873726,-0.371851,0.155197
01324188,1430391857059,-9.53924,-0.844732,-2.20765,0.00119267,-0.000349236,-0.0136839,0.873179,-0.301643,0.13609
01324180,1430391857059,-8.57075,3.51285,3.05719,0.036395,0.0420222,0.0198252,0.573697,-0.516994,-0.571884
01324189,1430391857075,-9.79544,0.0312674,-0.379654,-0.0385536,0.0184809,0.015845,0.873591,-0.376094,0.157938
01324188,1430391857075,-9.51218,-0.709977,-2.18502,0.0256707,0.00755067,0.00250026,0.873195,-0.304641,0.138947
01324180,1430391857075,-8.61012,3.54073,3.11737,0.0471402,0.0433803,-0.00293944,0.57567,-0.519942,-0.562915
01324189,1430391857091,-9.8152,0.0601422,-0.393889,-0.0236121,0.00798575,0.0265792,0.874117,-0.374262,0.157946
01324188,1430391857091,-9.51004,-0.787205,-2.17471,-0.0101037,0.00176017,-0.00488561,0.87279,-0.303795,0.139401
01324180,1430391857091,-8.62757,3.56918,3.14636,0.063082,0.0545817,-0.0343984,0.576691,-0.517973,-0.560227
01324189,1430391857107,-9.83441,0.0236839,-0.398553,-0.016791,0.00272518,0.0159546,0.873059,-0.376649,0.157676
01324188,1430391857107,-9.50792,-0.873711,-2.21726,-0.0266404,-0.0132404,-0.00161954,0.872262,-0.304613,0.138696
01324180,1430391857107,-8.68826,3.59779,3.11209,0.0545653,0.0442293,-0.0432955,0.577222,-0.517834,-0.561164
01324189,1430391857123,-9.81699,0.136947,-0.48373,-0.00650829,0.00172889,0.00887735,0.872553,-0.377218,0.154772
01324188,1430391857123,-9.51264,-0.848966,-2.30648,-0.0266975,0.00921042,0.00128142,0.873182,-0.302005,0.134613
01324180,1430391857123,-8.55782,3.60891,3.11826,0.0422015,0.0520606,-0.0433454,0.576189,-0.517351,-0.567133
01324189,1430391857139,-9.87253,-0.114702,-0.415343,0.000520244,0.0146294,0.0106685,0.873365,-0.377525,0.154364
01324188,1430391857139,-9.5901,-0.87328,-2.23587,-0.000514868,0.012724,0.00237219,0.872257,-0.303312,0.135337
01324180,1430391857139,-8.54921,3.67126,3.16701,0.0371441,0.0514711,-0.0591927,0.576181,-0.517215,-0.565931
01324189,1430391857155,-9.77014,-0.0847243,-0.355973,0.00058351,0.00080446,0.0124522,0.874021,-0.377676,0.156072
01324188,1430391857155,-9.52956,-0.850966,-2.35686,0.0116169,0.0243022,-0.00271779,0.873195,-0.304616,0.13842
01324180,1430391857155,-8.60322,3.72353,3.18611,0.000103598,0.0552848,-0.0373967,0.579045,-0.517609,-0.556126
01324189,1430391857170,-9.75633,0.0170472,-0.360808,0.00753987,0.00418412,0.0151306,0.874008,-0.377669,0.157393
01324188,1430391857170,-9.48358,-0.825678,-2.20344,-0.00580844,0.0126514,-0.0135814,0.872388,-0.303485,0.139028
01324180,1430391857170,-8.63606,3.65084,3.17572,-0.00536947,0.0512504,-0.0119749,0.578122,-0.518316,-0.554795
01324189,1430391857186,-9.77245,0.225178,-0.37954,-0.0141903,0.0182291,0.0212509,0.872926,-0.376363,0.157415
01324188,1430391857186,-9.48098,-0.766011,-2.11738,-0.040663,-0.00538593,-0.0193307,0.873181,-0.302324,0.138428
01324180,1430391857186,-8.63033,3.59323,3.15129,-0.0090322,0.0329373,0.0265405,0.579299,-0.517917,-0.553206
01324189,1430391857203,-9.83058,0.127683,-0.422702,-0.0290407,0.0132028,0.0141147,0.872139,-0.377201,0.155965
01324188,1430391857203,-9.56077,-0.773055,-2.10225,-0.014489,0.00228494,-0.0146543,0.873441,-0.301119,0.137044
01324180,1430391857203,-8.66795,3.5256,3.11431,0.0241329,0.0293126,0.0390247,0.580394,-0.51818,-0.560418
01324189,1430391857220,-9.83852,-0.0269781,-0.369407,-0.0152657,0.00441827,-3.37077e-05,0.873084,-0.378927,0.156469
01324188,1430391857220,-9.59939,-0.762704,-2.18386,0.0133676,0.00186051,-0.0215537,0.872916,-0.302167,0.135135
01324180,1430391857220,-8.68239,3.52561,3.09725,0.0469427,0.0331168,0.0286491,0.579365,-0.520739,-0.559921
01324189,1430391857236,-9.82405,0.0168058,-0.354918,-0.00814092,0.0147204,0.014183,0.871876,-0.379463,0.156743
01324188,1430391857236,-9.57517,-0.757203,-2.29479,0.00110064,0.0293,-0.0151361,0.873066,-0.305118,0.136936
01324180,1430391857236,-8.66882,3.6032,3.07848,0.0627568,0.0315003,0.0252373,0.579504,-0.520008,-0.563105
01324189,1430391857253,-9.79273,0.146796,-0.476771,-0.0102302,0.00864519,-0.00714479,0.872277,-0.379189,0.15674
01324188,1430391857253,-9.53626,-0.690067,-2.26201,-0.0127561,0.0179938,0.000578905,0.873061,-0.304279,0.137384
01324180,1430391857253,-8.76505,3.58831,3.00979,0.0332538,0.0256436,0.00744486,0.579221,-0.51901,-0.561749
01324189,1430391857269,-9.83045,0.118031,-0.417859,-0.0240332,0.016584,-8.98267e-05,0.872539,-0.378626,0.157138
01324188,1430391857269,-9.52232,-0.840254,-2.16691,-0.0632826,-0.00539793,-0.00355808,0.873457,-0.30366,0.136227
