ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430392297352,-9.59595,-0.714577,2.00314,0.00414158,0.00663005,-0.00279797,0.914402,0.398174,-0.469773
01324188,1430392297352,-9.61347,1.38627,-1.50971,0.0226215,-0.00354663,-0.0168405,0.888644,0.302538,-0.0388556
01324180,1430392297352,-8.6342,3.40166,3.48081,0.0329251,-0.0128877,-0.00811356,0.910556,0.0697035,-0.0752612
01324189,1430392297356,-9.59159,-0.683217,1.98368,0.00596916,0.00661725,0.00431427,0.91577,0.405693,-0.475851
01324188,1430392297356,-9.59184,1.35451,-1.46146,0.022614,0.000108696,-0.020337,0.891411,0.309878,-0.0430851
01324180,1430392297356,-8.61737,3.41408,3.46654,0.0364053,-0.0156065,-0.00283644,0.911008,0.0783591,-0.0797879
01324189,1430392297372,-9.58633,-0.692693,2.00791,-0.00267192,0.0101666,0.00783193,0.914843,0.406848,-0.478759
01324188,1430392297372,-9.59663,1.36441,-1.49521,0.0103577,0.0106966,-0.0238452,0.890335,0.310985,-0.0448628
01324180,1430392297372,-8.60727,3.39775,3.42305,0.0150958,0.000877139,0.00241289,0.911266,0.0793668,-0.080576
01324189,1430392297388,-9.5961,-0.685485,2.00564,-0.0062407,0.0050168,0.000723741,0.913721,0.405898,-0.474095
01324188,1430392297388,-9.59653,1.39331,-1.49066,-0.0158132,0.0174992,-0.0221805,0.890476,0.309557,-0.0420309
01324180,1430392297388,-8.60111,3.31129,3.3888,0.0248505,-0.00241354,-0.00636258,0.913139,0.077156,-0.0774296
01324189,1430392297404,-9.6211,-0.610653,1.98429,-0.00968879,0.00419718,0.00427107,0.914805,0.403872,-0.472926
01324188,1430392297404,-9.59654,1.39317,-1.4714,0.000714679,0.0130227,-0.0353923,0.88901,0.308553,-0.0415435
01324180,1430392297404,-8.61517,3.28726,3.36195,0.027167,0.0186373,-0.00620319,0.911152,0.0763257,-0.0771491
01324189,1430392297420,-9.62628,-0.669209,1.93555,-0.00815129,0.00501915,-0.00993946,0.913705,0.404052,-0.471315
01324188,1430392297420,-9.59661,1.37375,-1.45198,-0.00704157,0.0136697,-0.0150822,0.88807,0.308763,-0.0395269
01324180,1430392297420,-8.62475,3.27244,3.38353,0.0237994,0.0188648,-0.0185324,0.911146,0.0766104,-0.0766071
01324189,1430392297435,-9.58675,-0.637008,2.00318,-0.000827528,0.00152529,0.0149611,0.914835,0.403285,-0.475726
01324188,1430392297435,-9.63064,1.32522,-1.3887,-0.0296708,0.00649418,-0.0117801,0.889001,0.309999,-0.0417198
01324180,1430392297435,-8.63465,3.29918,3.35458,0.0185877,0.0117415,-0.0133316,0.910343,0.0783707,-0.0797779
01324189,1430392297451,-9.60962,-0.682558,2.07644,0.0199041,0.00303704,0.00437242,0.913218,0.403894,-0.4769
01324188,1430392297451,-9.64268,1.33752,-1.4176,-0.0245675,0.0215319,-0.0328227,0.889938,0.310008,-0.042262
01324180,1430392297451,-8.62051,3.34079,3.31627,0.0247817,0.013724,-0.022942,0.911387,0.0799341,-0.0794939
01324189,1430392297467,-9.59639,-0.639452,2.00576,-0.000960527,0.0101495,0.00695049,0.915804,0.399825,-0.475764
