ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430392333216,-9.83048,0.311412,-0.21585,-0.0119528,0.00822462,0.00768493,0.579424,0.39546,-0.168936
01324188,1430392333216,-9.46723,-1.19408,-2.47892,0.015935,-0.00397861,0.0168201,0.568446,0.590149,0.263407
01324180,1430392333216,-8.66963,3.31948,3.00611,-0.027397,0.0251351,0.00832059,0.948742,-0.111793,0.153374
01324189,1430392333250,-9.79512,0.369379,-0.257623,-0.0154058,0.0151574,0.0120946,0.576185,0.404383,-0.175481
01324188,1430392333250,-9.41892,-1.19955,-2.41187,0.0114994,0.00900277,0.0010081,0.569199,0.598647,0.259674
01324180,1430392333250,-8.6819,3.31893,3.04465,-0.0133749,0.0251906,0.00753309,0.947888,-0.106006,0.150821
01324189,1430392333266,-9.80006,0.335265,-0.279535,-0.0100439,0.0082075,0.0210111,0.575931,0.403811,-0.176813
01324188,1430392333266,-9.3876,-1.23312,-2.45513,0.0263913,-0.0020594,0.0133854,0.568931,0.598627,0.260207
01324180,1430392333266,-8.67839,3.40053,3.09347,-0.0028411,0.0360514,-0.00812951,0.947895,-0.106727,0.151075
01324189,1430392333281,-9.81938,0.315764,-0.284158,-0.00850488,0.00817555,0.00680497,0.578611,0.399618,-0.171422
01324188,1430392333281,-9.41191,-1.27157,-2.4594,0.0263712,0.0083737,0.0134974,0.569643,0.5913,0.262932
01324180,1430392333281,-8.71884,3.51049,3.15168,0.0167119,0.0114316,-0.00110904,0.948821,-0.109962,0.159843
01324189,1430392333296,-9.81439,0.330457,-0.267161,-0.00329855,0.00639502,0.00593639,0.578594,0.399627,-0.169692
01324188,1430392333296,-9.44564,-1.23786,-2.43538,0.0229281,-0.0209759,0.00960508,0.569911,0.591327,0.262267
