ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430392982717,-9.77978,0.0580374,-0.855909,-0.00368948,0.00395272,-0.00773325,0.885599,-0.410956,0.266814
01324188,1430392982717,-9.73877,-0.238223,-1.29656,0.0169046,0.00711527,0.00104442,0.823968,-0.0707976,0.536881
01324180,1430392982717,-9.11078,2.82844,2.4566,0.0364249,-0.00793948,-0.0194954,0.751241,-0.58964,-0.00863134
01324189,1430392982720,-9.76966,0.0388704,-0.834203,-0.02111,0.0024029,-0.0113439,0.886696,-0.409,0.263896
01324188,1430392982720,-9.7388,-0.245723,-1.25799,0.0186749,-0.000699945,0.000970406,0.825527,-0.0628309,0.535227
01324180,1430392982720,-9.09406,2.82818,2.50026,0.0388858,-0.00288168,-0.0097777,0.74988,-0.58528,-0.0125413
01324189,1430392982736,-9.77945,0.0679421,-0.829118,-0.00445968,0.00656371,-0.000632912,0.886002,-0.405842,0.263929
01324188,1430392982736,-9.72438,-0.267509,-1.2531,0.00472337,0.00264627,0.00268458,0.825131,-0.0636855,0.535179
01324180,1430392982736,-9.09902,2.83778,2.50027,0.0321332,-0.0222387,-0.00731509,0.748517,-0.582674,-0.0116664
01324189,1430392982752,-9.75034,0.0583712,-0.82958,-0.00345898,0.00569573,0.00825107,0.884388,-0.411211,0.26656
01324188,1430392982752,-9.7147,-0.265199,-1.24357,0.0151746,0.00797296,0.0010457,0.82409,-0.068704,0.535148
01324180,1430392982752,-9.09902,2.83778,2.50027,0.0177998,-0.00311332,-0.0019969,0.748829,-0.585539,-0.0142716
01324189,1430392982768,-9.77935,0.0509829,-0.82916,-0.019319,0.000665991,-0.00777912,0.885329,-0.409526,0.265899
01324188,1430392982768,-9.72928,-0.284402,-1.24809,0.0135361,-0.00348083,0.020378,0.82463,-0.0692747,0.53484
01324180,1430392982768,-9.04747,2.79534,2.46187,0.00654339,-0.00919502,-0.00652841,0.751119,-0.587584,-0.0156844
01324189,1430392982784,-9.79893,0.0507862,-0.843468,-0.00359534,0.00914695,-0.000631084,0.886151,-0.41183,0.266137
01324188,1430392982784,-9.74377,-0.281972,-1.24319,0.0222093,0.00647473,0.013464,0.825698,-0.0689788,0.537371
01324180,1430392982784,-9.09246,2.72487,2.45621,0.0221404,-0.00582709,0.00325713,0.752047,-0.587894,-0.014633
01324189,1430392982800,-9.79594,0.060837,-0.799679,-0.00893381,-0.000302012,-0.0112928,0.886694,-0.410138,0.264817
01324188,1430392982800,-9.75815,-0.24813,-1.2482,0.00475769,0.00904993,0.0133697,0.82701,-0.0645204,0.536965
01324180,1430392982800,-9.13727,2.80354,2.49971,0.0307636,0.00562746,0.00166304,0.7519,-0.588054,-0.0114209
01324189,1430392982816,-9.77917,0.0340626,-0.824335,-0.00176817,0.00740719,0.00470567,0.886408,-0.409553,0.266152
01324188,1430392982816,-9.73889,-0.267589,-1.23373,0.0117468,0.00558252,0.0133828,0.82595,-0.0663564,0.536599
01324180,1430392982816,-9.15635,2.77905,2.51147,0.0278105,-0.0167513,-0.0196136,0.751092,-0.587324,-0.0108591
01324189,1430392982832,-9.76489,0.0291218,-0.844033,-0.00705841,0.0057222,-0.000642576,0.885057,-0.408663,0.265643
01324188,1430392982832,-9.71955,-0.267643,-1.23629,0.00995301,0.00700115,0.00276863,0.824354,-0.0679538,0.534393
01324180,1430392982832,-9.09286,2.75629,2.45155,0.0276378,-0.00983393,-0.0143112,0.751066,-0.586044,-0.00855732
01324189,1430392982848,-9.76007,0.0777519,-0.824519,0.00341429,0.00561979,0.00294526,0.885584,-0.408244,0.266703
01324188,1430392982848,-9.71486,-0.308566,-1.24798,0.0117367,0.00566519,0.0116187,0.824345,-0.066543,0.535012
01324180,1430392982848,-9.04074,2.82407,2.4911,0.0274878,0.00424604,-0.0177251,0.750534,-0.586326,-0.0078858
01324189,1430392982864,-9.77653,0.043919,-0.80488,-0.00176002,-0.0064037,0.0029542,0.885719,-0.409955,0.26775
01324188,1430392982864,-9.73881,-0.248034,-1.27241,0.023931,0.00748629,0.0108319,0.824616,-0.0673884,0.537615
01324180,1430392982864,-9.05994,2.80429,2.51497,0.00112805,0.00393447,-0.00734488,0.752125,-0.586066,-0.00790378
01324189,1430392982881,-9.77923,0.0437536,-0.824311,-0.010272,0.00751425,0.0180036,0.88939,-0.410633,0.265579
01324188,1430392982881,-9.73877,-0.236045,-1.26289,0.0238969,0.0164097,0.0065039,0.827027,-0.0674282,0.537583
01324180,1430392982881,-9.05423,2.75659,2.46643,0.0131056,0.0115947,0.00683784,0.752407,-0.586635,-0.00979351
01324189,1430392982897,-9.76709,0.0389582,-0.824505,0.013921,-0.00138754,0.00654916,0.88642,-0.409133,0.264562
01324188,1430392982897,-9.72896,-0.195224,-1.24409,0.014378,0.00535449,0.0178228,0.825815,-0.0659932,0.535028
01324180,1430392982897,-9.07368,2.76111,2.47351,0.0114299,0.0144292,-0.00369715,0.752262,-0.585189,-0.0108337
01324189,1430392982914,-9.77914,0.0681169,-0.807217,-1.09862e-05,-0.00296659,0.00473071,0.886002,-0.40883,0.265764
01324188,1430392982914,-9.7096,-0.190472,-1.24428,0.00386127,0.0135657,0.00987846,0.826763,-0.0677866,0.536102
01324180,1430392982914,-9.06643,2.76117,2.476,0.020588,-0.00997442,-0.00908667,0.752502,-0.583767,-0.00893461
01324189,1430392982931,-9.78384,0.0511572,-0.804753,-0.00347727,0.00570487,0.00648097,0.885999,-0.407975,0.265505
01324188,1430392982931,-9.73857,-0.178445,-1.22492,0.00298619,0.0094172,0.00628178,0.825418,-0.066854,0.535113
01324180,1430392982931,-9.05939,2.78066,2.46651,0.0361025,0.00403648,-0.00537058,0.751141,-0.581449,-0.00793159
01324189,1430392982947,-9.78875,0.0389458,-0.814443,-0.00693711,-0.00116444,0.00648314,0.886269,-0.407982,0.265502
01324188,1430392982947,-9.77736,-0.207338,-1.20991,-0.00569752,0.00391713,0.0114671,0.825812,-0.0657616,0.536239
01324180,1430392982947,-9.09888,2.83064,2.49056,0.0361302,0.004071,-0.00710729,0.75115,-0.581876,-0.00860961
01324189,1430392982964,-9.79604,0.0437612,-0.814321,-0.00445626,0.00915922,-0.000634044,0.885743,-0.409398,0.264966
01324188,1430392982964,-9.75328,-0.236159,-1.23872,-0.00572004,0.00409317,0.00793369,0.825547,-0.0659826,0.534899
01324180,1430392982964,-9.13286,2.83743,2.4951,0.0133622,0.0129685,-0.0177294,0.752207,-0.581173,-0.00914653
01324189,1430392982980,-9.75969,0.0390659,-0.814881,-0.0141277,-0.00284693,-0.0104239,0.887627,-0.410868,0.266526
01324188,1430392982980,-9.72666,-0.226644,-1.2342,-0.00749531,0.0027633,-5.47181e-05,0.82596,-0.068122,0.53742
01324180,1430392982980,-9.11535,2.78423,2.52398,0.0220971,0.00393853,-0.00368817,0.753015,-0.582194,-0.00891082
01324189,1430392982997,-9.77912,0.0486768,-0.814565,-0.0174784,0.00756526,0.000210421,0.886677,-0.409702,0.26628
01324188,1430392982997,-9.71701,-0.233913,-1.23421,-0.0109686,0.000874246,0.00255757,0.825291,-0.0680062,0.535176
01324180,1430392982997,-9.09391,2.80862,2.52432,0.0150797,0.0182886,-0.0212137,0.752732,-0.582356,-0.0050274
01324189,1430392983014,-9.77919,0.0486379,-0.819432,-0.0175303,0.00756013,-0.00334359,0.88613,-0.4094,0.26682
01324188,1430392983014,-9.73881,-0.245856,-1.23874,-0.0127025,0.0109305,0.00973354,0.824895,-0.0688485,0.534863
01324180,1430392983014,-9.08432,2.82347,2.50033,0.0115798,0.00929099,-0.00986846,0.752734,-0.582937,-0.0041018
01324189,1430392983030,-9.78422,0.033926,-0.838862,-0.0106329,0.00402831,-0.00775526,0.886402,-0.407984,0.265766
01324188,1430392983030,-9.73893,-0.277301,-1.22402,-0.00743965,0.00215856,0.0114441,0.823686,-0.0682236,0.534252
01324180,1430392983030,-9.07961,2.83318,2.50043,0.0114685,0.014479,-0.00631491,0.752965,-0.579775,-0.00457786
01324189,1430392983047,-9.78414,0.0315422,-0.834001,-0.0107432,0.0195591,-0.0131152,0.88397,-0.408775,0.266319
01324188,1430392983047,-9.72437,-0.262786,-1.2387,-0.00226027,0.00784534,0.00269353,0.823691,-0.0691403,0.535392
01324180,1430392983047,-9.0603,2.82834,2.52234,-0.00595488,0.00194463,0.00315212,0.753523,-0.580919,-0.00728631
01324189,1430392983063,-9.76481,0.0388904,-0.834276,0.00333324,0.00561184,-0.00327289,0.885071,-0.409098,0.264445
01324188,1430392983063,-9.71468,-0.258066,-1.22919,-0.0179397,0.00675295,0.00611561,0.825029,-0.0688754,0.535391
01324180,1430392983063,-9.07976,2.8378,2.51979,-0.00960787,0.0178517,-0.00378599,0.752713,-0.580191,-0.00645679
