ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430393294688,-9.75374,0.651699,-0.987318,-0.000810549,0.00498175,-0.0267333,1.19753,0.481169,0.121152
01324188,1430393294688,-9.68711,0.0620175,-1.5403,0.0201288,0.00153263,-0.00693916,0.775768,0.0664743,-0.243088
01324180,1430393294688,-8.60627,3.24472,3.45348,0.0329127,0.0332269,-0.0287451,0.744397,0.0718835,-0.450633
01324189,1430393294691,-9.73418,0.666471,-0.968108,-0.00582983,0.00850435,-0.0125452,1.19966,0.489927,0.117488
01324188,1430393294691,-9.66043,0.0949764,-1.43974,0.0218933,0.0033173,-0.00779105,0.775194,0.0734201,-0.249831
01324180,1430393294691,-8.54911,3.29313,3.50505,0.0453477,0.0281697,-0.0374942,0.742515,0.076403,-0.456533
01324189,1430393294707,-9.73414,0.683508,-0.958332,0.00820568,0.00664616,-0.00361025,1.20021,0.490763,0.116694
01324188,1430393294707,-9.6604,0.100099,-1.4831,0.0139628,0.0109036,-0.020152,0.775194,0.0732273,-0.24878
01324180,1430393294707,-8.51064,3.31296,3.49829,0.0467818,0.038375,-0.0215928,0.743437,0.0763782,-0.455076
01324189,1430393294723,-9.73381,0.686125,-0.933993,0.00133557,-0.00535826,-5.68396e-05,1.19768,0.482293,0.118643
01324188,1430393294723,-9.70373,0.148512,-1.48802,0.0166069,-0.00133186,-0.0185061,0.775487,0.0687062,-0.244542
01324180,1430393294723,-8.52476,3.28383,3.49799,0.0292546,0.0319663,-0.0112029,0.745087,0.073507,-0.460105
01324189,1430393294739,-9.7338,0.695854,-0.929102,0.00141032,-0.00535089,0.00527404,1.19752,0.484012,0.11985
01324188,1430393294739,-9.718,0.213748,-1.50053,0.00610373,0.00071753,-0.0247547,0.774414,0.0690603,-0.245571
01324180,1430393294739,-8.56834,3.2882,3.49276,0.0185859,0.0343174,0.001065,0.74575,0.0732028,-0.459185
01324189,1430393294755,-9.72429,0.712814,-0.934073,-0.00560721,-0.00183353,0.00168806,1.19794,0.483993,0.118256
01324188,1430393294755,-9.69848,0.266605,-1.48432,0.00437467,0.0124548,-0.0166714,0.7744,0.0713944,-0.246224
01324180,1430393294755,-8.61691,3.27224,3.57919,0.0184065,0.0339044,0.020409,0.745885,0.0729125,-0.459059
01324189,1430393294771,-9.73413,0.715119,-0.943654,0.00388271,-0.0053911,-0.00360247,1.19767,0.486842,0.116824
01324188,1430393294771,-9.69365,0.26421,-1.48915,-0.00432732,0.00538934,-0.0150375,0.775731,0.0729066,-0.248274
01324180,1430393294771,-8.62735,3.3052,3.64694,0.035198,0.0252157,0.0187064,0.743438,0.0760886,-0.454681
01324189,1430393294787,-9.74101,0.710438,-0.919223,-0.00223824,0.00244323,-0.00541277,1.19833,0.487539,0.11722
01324188,1430393294787,-9.71546,0.249756,-1.47922,0.0035893,-0.00383576,-0.00446721,0.775731,0.0729066,-0.248274
01324180,1430393294787,-8.62568,3.36323,3.64002,0.0308438,0.0198422,0.0239301,0.74504,0.0747613,-0.453527
01324189,1430393294803,-9.74835,0.705504,-0.926425,0.00367936,0.00840954,-0.0160641,1.19902,0.484392,0.118247
01324188,1430393294803,-9.73242,0.237928,-1.50304,0.00267619,0.0101625,-0.00609169,0.775078,0.0701344,-0.247241
01324180,1430393294803,-8.63505,3.35384,3.60363,0.0169864,0.0128996,0.0185188,0.746686,0.0713017,-0.45616
01324189,1430393294819,-9.76315,0.719883,-0.938337,-0.000595211,0.0188235,-0.00898775,1.19672,0.485165,0.118279
01324188,1430393294819,-9.71309,0.235364,-1.49114,-0.011247,0.0114903,0.000910746,0.774807,0.0707747,-0.248528
01324180,1430393294819,-8.65894,3.33436,3.59363,0.0291446,0.0271808,0.00814655,0.74695,0.0715858,-0.456426
01324189,1430393294835,-9.72916,0.705487,-0.938884,0.0140735,0.0117454,-0.0178162,1.19699,0.485014,0.11801
01324188,1430393294835,-9.69387,0.206077,-1.45011,-0.00607734,0.009,-0.0176637,0.77548,0.0701647,-0.248042
01324180,1430393294835,-8.64754,3.3727,3.63261,0.0145595,0.0114483,0.00267609,0.744287,0.072497,-0.456904
01324189,1430393294852,-9.70501,0.705549,-0.944116,0.000200608,0.0187931,-0.0143268,1.19578,0.487602,0.116454
01324188,1430393294852,-9.66006,0.194032,-1.46952,0.00798764,0.00766367,0.00808952,0.774266,0.0716327,-0.248202
01324180,1430393294852,-8.59658,3.35378,3.65234,0.00500876,0.0142429,-0.00793059,0.745863,0.0730311,-0.454777
01324189,1430393294868,-9.69986,0.666844,-0.939419,-0.00415962,0.0188354,-0.0161188,1.19805,0.48812,0.118155
01324188,1430393294868,-9.67466,0.167529,-1.46435,-0.00251933,0.00984948,-0.000810111,0.775071,0.0713323,-0.248231
01324180,1430393294868,-8.52577,3.30641,3.64552,-0.00551751,-0.000247169,0.0129732,0.745899,0.0704524,-0.455898
01324189,1430393294885,-9.72438,0.705469,-0.943824,0.00095071,0.0153248,-0.0231986,1.1963,0.487457,0.118699
01324188,1430393294885,-9.71843,0.0955367,-1.48983,0.00624006,0.00767421,0.00807234,0.7748,0.0716441,-0.245549
01324180,1430393294885,-8.51098,3.29228,3.62867,0.0136287,-0.00487575,0.0288796,0.746152,0.0714522,-0.455748
01324189,1430393294902,-9.75311,0.686083,-0.928834,-0.00763931,0.0188856,-0.0161204,1.1971,0.487584,0.119883
01324188,1430393294902,-9.72809,0.0955884,-1.49216,0.0254335,0.00255229,0.00726093,0.775873,0.0713454,-0.245714
01324180,1430393294902,-8.57668,3.33536,3.5896,-0.000299468,-0.0119499,0.0305257,0.746974,0.069868,-0.457396
01324189,1430393294918,-9.76301,0.681062,-0.945733,-0.000741188,0.0196722,-0.0196509,1.19535,0.487344,0.119769
01324188,1430393294918,-9.70854,0.153502,-1.50968,0.0219887,0.0104356,0.0223708,0.775345,0.0703044,-0.247899
01324180,1430393294918,-8.6179,3.3247,3.63989,-0.00543685,-0.0117876,0.0208304,0.745391,0.0690326,-0.457123
01324189,1430393294935,-9.76297,0.681081,-0.9433,-0.000748175,0.0119019,-0.0214133,1.19711,0.490133,0.116856
01324188,1430393294935,-9.6989,0.148428,-1.47843,0.0463747,0.0135598,0.0137227,0.775755,0.0690056,-0.247984
01324180,1430393294935,-8.68547,3.30684,3.65605,-0.0124032,-0.0225587,0.0321505,0.744029,0.071636,-0.456249
01324189,1430393294951,-9.75334,0.666508,-0.953215,0.00620445,0.0239126,-0.0196373,1.19657,0.49043,0.116468
01324188,1430393294951,-9.71838,0.109787,-1.45868,0.0446663,0.00217245,0.0153541,0.775084,0.0693531,-0.249018
01324180,1430393294951,-8.68028,3.28533,3.64148,-0.000875818,-0.0294211,0.026894,0.745108,0.0704733,-0.45709
01324189,1430393294968,-9.76062,0.647018,-0.962887,0.00438722,0.0152905,-0.0267334,1.19655,0.492148,0.118203
01324188,1430393294968,-9.73789,0.0662565,-1.42925,0.0604238,0.00503424,0.0278818,0.775219,0.0689528,-0.246651
01324180,1430393294968,-8.65096,3.27888,3.59823,0.00234034,-0.0570572,0.00737142,0.74468,0.0700073,-0.449872
01324189,1430393294984,-9.74853,0.661643,-0.958167,0.00787873,0.018707,-0.0249536,1.19518,0.491624,0.120201
01324188,1430393294984,-9.72823,0.0613993,-1.42928,0.0743327,-0.00288113,0.0137311,0.77576,0.0680641,-0.246314
01324180,1430393294984,-8.63153,3.28178,3.57427,0.00546554,-0.032535,0.00931764,0.745233,0.0685682,-0.450978
01324189,1430393295001,-9.74113,0.627717,-0.963227,0.00611869,0.0204468,-0.0267407,1.19668,0.491291,0.11846
01324188,1430393295001,-9.69898,0.131183,-1.42533,0.0839568,0.0052621,0.0245088,0.775761,0.0681319,-0.247772
01324180,1430393295001,-8.61423,3.26292,3.55017,0.0161307,-0.048374,0.0145405,0.744976,0.0679999,-0.451253
01324189,1430393295018,-9.73891,0.63734,-0.972973,0.00811352,0.0118165,-0.00983806,1.19588,0.491311,0.118204
01324188,1430393295018,-9.69386,0.210732,-1.42609,0.0699679,0.00729847,0.0182385,0.774963,0.067407,-0.250466
01324180,1430393295018,-8.61148,3.24878,3.52112,0.00918213,-0.0572778,0.0205841,0.74275,0.0683672,-0.458167
01324189,1430393295034,-9.73922,0.64203,-0.992428,0.00802708,0.00835348,-0.0160513,1.19573,0.492884,0.118748
01324188,1430393295034,-9.69404,0.157955,-1.46411,0.0533456,0.00690318,0.00838733,0.774965,0.0671199,-0.250484
01324180,1430393295034,-8.61606,3.22941,3.52097,0.0301422,-0.0482821,0.0128636,0.742632,0.0675141,-0.459252
01324189,1430393295051,-9.75342,0.634857,-0.97276,0.00114247,0.00325725,-0.012508,1.19304,0.491954,0.118109
01324188,1430393295051,-9.72785,0.163133,-1.49759,0.0428124,0.00841338,-0.00406335,0.775104,0.0661699,-0.248683
01324180,1430393295051,-8.5939,3.21067,3.49208,0.0284217,-0.053611,0.0163224,0.743178,0.0683961,-0.464324
01324189,1430393295067,-9.7414,0.637291,-0.977803,0.0203662,0.00220099,-0.00533641,1.19493,0.49219,0.118089
01324188,1430393295067,-9.69633,0.191819,-1.47884,0.0515926,-0.00749669,0.00113581,0.775772,0.066446,-0.248674
01324180,1430393295067,-8.55732,3.19686,3.4682,0.0495004,-0.06058,0.0181536,0.742674,0.0666899,-0.465688
01324189,1430393295084,-9.74362,0.661702,-0.953373,0.0149761,0.0117402,-0.0160332,1.196,0.491595,0.118735
01324188,1430393295084,-9.72512,0.254413,-1.45031,0.0463305,0.0065017,-0.000523321,0.775379,0.065017,-0.248757
01324180,1430393295084,-8.6013,3.2401,3.439,0.0442647,-0.0488361,0.000640462,0.742164,0.0649774,-0.465982
01324189,1430393295100,-9.73866,0.632611,-0.958385,-0.000590461,0.0136339,-0.0107588,1.19667,0.491296,0.11952
01324188,1430393295100,-9.69855,0.249428,-1.44085,0.0445367,0.00371362,-0.0138377,0.7743,0.0664131,-0.250519
01324180,1430393295100,-8.59219,3.27375,3.46344,0.035475,-0.0390566,-0.00813183,0.742394,0.0660951,-0.461417
01324189,1430393295117,-9.73869,0.647186,-0.953482,-0.00210408,-0.00791078,0.00171444,1.19494,0.491332,0.11742
01324188,1430393295117,-9.68896,0.225381,-1.45514,0.0288997,0.0198856,0.00836114,0.775108,0.0656203,-0.249249
01324180,1430393295117,-8.49475,3.22175,3.46653,0.0214242,-0.0320024,-0.0134808,0.740274,0.0661369,-0.462187
01324189,1430393295134,-9.75306,0.666663,-0.933748,-0.00225209,0.011939,-0.00542788,1.19561,0.492878,0.116763
01324188,1430393295134,-9.70825,0.237691,-1.48157,0.0288984,0.0062227,0.00378309,0.774842,0.0651694,-0.248741
01324180,1430393295134,-8.59352,3.21153,3.40992,0.0233015,-0.0352988,-0.0222638,0.740379,0.0662462,-0.456704
01324189,1430393295150,-9.77226,0.661815,-0.923735,0.00105968,0.0188007,-0.0160871,1.19453,0.491772,0.117826
01324188,1430393295150,-9.71789,0.244959,-1.48156,0.025446,0.00918088,0.0135256,0.773502,0.0653967,-0.25004
01324180,1430393295150,-8.66433,3.25395,3.4288,0.0215002,-0.0246086,-0.0309654,0.739446,0.06684,-0.457213
01324189,1430393295167,-9.734,0.627669,-0.97307,-0.0111915,0.0154508,-0.0223486,1.1948,0.492615,0.117035
01324188,1430393295167,-9.7228,0.225671,-1.47894,0.0280639,0.00918739,0.0135435,0.77592,0.0641775,-0.249481
01324180,1430393295167,-8.69407,3.28679,3.48669,0.0232958,-0.0173582,-0.0431965,0.739576,0.0677087,-0.458803
01324189,1430393295183,-9.73397,0.644706,-0.963295,0.0132527,0.0117558,-0.0151523,1.19318,0.491808,0.118106
01324188,1430393295183,-9.68925,0.148093,-1.43519,0.0115332,0.00373783,0.0169176,0.775244,0.0653556,-0.249798
01324180,1430393295183,-8.53953,3.31293,3.46901,0.0153142,-0.0175864,-0.0336062,0.739079,0.0674682,-0.465219
01324189,1430393295200,-9.71438,0.63275,-0.953883,0.00635456,0.00664895,-0.012504,1.19344,0.492656,0.11811
01324188,1430393295200,-9.67015,0.0804447,-1.4251,0.0202559,0.00210295,0.0151941,0.774307,0.065084,-0.249804
01324180,1430393295200,-8.46012,3.33781,3.48684,0.00541957,0.00345476,-0.0361706,0.739082,0.0671794,-0.464957
01324189,1430393295216,-9.74831,0.603421,-0.968044,-0.0126893,0.018947,-0.00547654,1.19398,0.493639,0.118112
01324188,1430393295216,-9.7038,0.129256,-1.49266,0.0411747,0.0105685,0.0207347,0.774715,0.0640415,-0.249208
01324180,1430393295216,-8.44268,3.28446,3.53021,-0.0349283,0.00490528,-0.0293996,0.738948,0.0687833,-0.468668
01324189,1430393295233,-9.73409,0.608171,-0.987718,0.00124378,0.00498596,-0.00540687,1.19424,0.495337,0.117327
01324188,1430393295233,-9.71814,0.177248,-1.45207,0.0491008,-0.0122773,0.025844,0.774715,0.0642837,-0.251321
01324180,1430393295233,-8.48054,3.23119,3.50297,-0.0265084,0.0169318,-0.0152004,0.740131,0.0697677,-0.468666
01324189,1430393295250,-9.73411,0.622746,-0.982816,-0.00588054,0.0119506,-0.0161052,1.19288,0.495237,0.118666
