ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430397867680,-9.52886,0.761691,-2.13148,0.0747791,0.0269827,-0.0176165,0.671442,0.180694,0.609552
01324188,1430397867680,-9.55493,-0.978397,-1.97875,0.0869565,0.023088,-0.00653542,0.69808,0.0608959,0.60734
01324180,1430397867680,-8.91519,2.93619,-0.509337,-0.251074,-0.0689779,-0.0385276,0.724315,-0.393191,0.426608
01324189,1430397867714,-9.61278,0.590513,-1.97971,0.0992609,0.0138269,-0.0148242,0.671658,0.191598,0.608567
01324188,1430397867714,-9.63975,-1.04025,-2.05453,0.0956314,0.0149543,-0.0163104,0.696691,0.0674294,0.607496
01324180,1430397867714,-8.8242,2.95011,-0.3537,-0.300333,-0.0364466,-0.0553321,0.722146,-0.389387,0.42443
01324189,1430397867730,-9.55552,0.849095,-2.09436,0.0817459,-0.0127893,-0.0219567,0.6722,0.193159,0.607772
01324188,1430397867730,-9.55233,-0.925343,-1.98166,0.0590155,0.0216646,-0.0138237,0.69561,0.067761,0.606995
01324180,1430397867730,-8.7719,3.00336,-0.309395,-0.324127,-0.00627159,-0.0790068,0.722166,-0.389949,0.42173
01324189,1430397867746,-9.54647,0.660473,-2.05357,0.0331004,-0.0105563,-0.0238996,0.671814,0.187002,0.609331
01324188,1430397867746,-9.60283,-0.866006,-2.1671,0.00233438,0.00718523,-0.00552665,0.695489,0.0653341,0.609387
01324180,1430397867746,-8.80546,2.95391,-0.235074,-0.316384,0.00424827,-0.0788888,0.725309,-0.395916,0.420893
01324189,1430397867761,-9.549,0.882753,-2.13089,0.0157377,0.00343576,-0.0151027,0.668864,0.185628,0.606148
01324188,1430397867761,-9.52546,-0.857075,-2.10521,-0.0543913,-0.00254783,-0.0219416,0.694951,0.0652798,0.607651
01324180,1430397867761,-8.81484,2.9694,-0.341418,-0.295416,-0.00286418,-0.0682503,0.724682,-0.398345,0.418568
01324189,1430397867776,-9.63316,0.582581,-2.05244,-1.2565e-05,0.00188525,-0.0293468,0.669787,0.186477,0.608548
01324188,1430397867776,-9.55002,-0.972091,-2.19543,-0.108513,-0.0142703,-0.0330595,0.696031,0.0649419,0.608286
01324180,1430397867776,-8.88027,3.0131,-0.438488,-0.283399,0.012118,-0.0680438,0.725079,-0.398356,0.419234
01324189,1430397867792,-9.54863,0.7079,-2.18243,-0.0207704,-0.0134619,-0.0205229,0.671543,0.190731,0.606959
01324188,1430397867792,-9.40978,-0.971999,-2.28315,-0.155676,-0.000334303,-0.0367469,0.697384,0.0643855,0.607298
01324180,1430397867792,-9.0236,3.07965,-0.499941,-0.306604,0.0355437,-0.0583072,0.723192,-0.394539,0.413961
01324189,1430397867807,-9.62123,0.605509,-2.22295,-0.0485528,-0.0304265,-0.0223466,0.671793,0.191881,0.608568
01324188,1430397867807,-9.56192,-0.932368,-2.35452,-0.148659,-0.0171509,-0.0298263,0.698191,0.0646609,0.607305
01324180,1430397867807,-9.13502,3.09289,-0.505789,-0.345401,0.0510725,-0.0522614,0.725627,-0.397177,0.413469
01324189,1430397867822,-9.60726,0.683062,-2.22785,-0.046733,-0.0528865,-0.0187486,0.672377,0.186118,0.607848
01324188,1430397867822,-9.555,-1.00646,-2.10363,-0.148551,-0.0320119,-0.0282189,0.698343,0.0618836,0.607799
01324180,1430397867822,-9.35792,3.0546,-0.326918,-0.414095,0.049874,-0.00694837,0.72743,-0.40225,0.411728
01324189,1430397867837,-9.60742,0.564075,-1.95552,-0.0277838,-0.059978,-0.0382123,0.673478,0.186798,0.605971
01324188,1430397867837,-9.64022,-1.16631,-1.95472,-0.127623,-0.0135058,-0.0314227,0.697412,0.0598775,0.607686
01324180,1430397867837,-9.53,2.88813,-0.298095,-0.414222,0.037017,0.0219701,0.725624,-0.406241,0.408717
01324189,1430397867853,-9.57689,0.820067,-2.07707,-0.0470236,-0.059806,-0.0400648,0.67268,0.186811,0.604244
01324188,1430397867853,-9.59464,-1.25852,-1.89408,-0.113519,-0.0481273,-0.0175368,0.698224,0.0595307,0.605514
01324180,1430397867853,-9.4281,2.62244,-0.629656,-0.365902,-0.00720589,0.0544061,0.724863,-0.40823,0.405597
01324189,1430397867869,-9.52432,1.03385,-2.03354,-0.189367,-0.0108281,-0.0157688,0.672107,0.189274,0.605739
01324188,1430397867869,-9.5076,-1.26303,-1.98616,-0.110015,-0.0486199,-0.00865338,0.697279,0.0596034,0.607403
01324180,1430397867869,-9.31691,2.33113,-0.80901,-0.239215,-0.0214238,0.0884185,0.723297,-0.410647,0.404227
01324189,1430397867886,-9.60982,0.400079,-1.85851,-0.166466,-0.0274118,-0.011192,0.673483,0.186509,0.605701
01324188,1430397867886,-9.58427,-1.06097,-1.8767,-0.119678,-0.0492181,-0.0299864,0.699177,0.0582714,0.60422
01324180,1430397867886,-9.19124,2.33735,-0.800499,-0.0925595,-0.014438,0.115743,0.723057,-0.411928,0.401919
01324189,1430397867903,-9.65929,0.447927,-1.90876,-0.115913,-0.0330956,-0.000342451,0.675374,0.186465,0.606881
01324188,1430397867903,-9.55569,-1.18375,-1.91912,-0.16598,-0.0417309,-0.0426025,0.699857,0.0571869,0.605482
01324180,1430397867903,-9.12817,2.29125,-0.7083,0.00891185,-0.0250594,0.137384,0.724151,-0.414404,0.402392
01324189,1430397867919,-9.62138,0.564326,-1.91636,-0.0779693,-0.0438867,-0.0206383,0.674573,0.184474,0.606608
01324188,1430397867919,-9.59485,-1.31877,-1.89834,-0.148487,-0.0319588,-0.029102,0.69973,0.0560464,0.605145
01324180,1430397867919,-9.17642,2.21386,-0.518271,0.118848,-0.00205357,0.143507,0.722547,-0.413794,0.401621
01324189,1430397867936,-9.49413,0.593426,-1.9815,-0.047339,-0.0614883,-0.00720182,0.675672,0.183867,0.605789
01324188,1430397867936,-9.75912,-1.26231,-1.60879,-0.111777,-0.0505054,-0.0370505,0.699465,0.0553787,0.604037
01324180,1430397867936,-9.31108,2.48663,-0.438335,0.196129,-0.0184462,0.144857,0.721215,-0.415231,0.404569
01324189,1430397867952,-9.67083,0.603795,-1.80112,-0.0220883,-0.0599559,-0.00619524,0.675444,0.180844,0.603096
01324188,1430397867952,-9.62403,-1.349,-1.69569,-0.0681792,-0.060751,-0.0394956,0.699199,0.0550248,0.602413
01324180,1430397867952,-9.53474,2.79429,-0.562084,0.154626,-0.0238179,0.103363,0.719878,-0.415211,0.405127
01324189,1430397867969,-9.66655,0.679977,-1.97382,0.0355402,-0.0674542,0.0153304,0.675585,0.181267,0.602297
01324188,1430397867969,-9.68312,-1.65001,-1.71897,-0.0628451,-0.0737866,-0.0227856,0.701218,0.0555813,0.602154
01324180,1430397867969,-9.7933,2.37496,-0.458157,0.200071,-0.000417114,0.0791533,0.718271,-0.415482,0.407027
01324189,1430397867986,-9.64735,0.342236,-1.79966,0.098617,-0.0801383,0.0395566,0.677613,0.181935,0.602947
01324188,1430397867986,-9.57782,-1.92953,-1.45014,0.0767138,-0.0810914,-0.0431314,0.702309,0.0538233,0.599088
01324180,1430397867986,-9.77099,2.56497,-0.597067,0.202134,0.000298131,0.046685,0.719334,-0.414922,0.406619
01324189,1430397868002,-9.63773,0.424906,-1.76797,0.195424,-0.0811077,0.0638686,0.67925,0.183894,0.601074
01324188,1430397868002,-9.53723,-2.11837,-2.05518,0.202258,-0.0940568,-0.0229234,0.703911,0.0564209,0.598695
01324180,1430397868002,-9.50425,2.49505,-0.536845,0.214713,0.00450413,0.0115511,0.7193,-0.413205,0.409343
01324189,1430397868019,-9.75131,0.931147,-2.03036,0.222736,-0.119334,0.0969158,0.680227,0.183855,0.598391
01324188,1430397868019,-9.56128,-1.43799,-2.45583,0.253593,-0.0634795,-0.00632542,0.703626,0.0590872,0.597526
01324180,1430397868019,-9.25157,2.42101,-0.558952,0.116476,0.0343589,-0.0100355,0.719802,-0.411497,0.41179
01324189,1430397868036,-9.59872,0.631644,-1.99443,0.170777,-0.0980946,0.107338,0.682808,0.18751,0.596253
01324188,1430397868036,-9.60401,-1.18535,-2.01018,0.228514,-0.107122,-0.00345683,0.703602,0.0628419,0.59776
01324180,1430397868036,-9.26924,2.59272,-0.379341,0.0126181,0.0849398,-0.0182041,0.717923,-0.410598,0.411835
01324189,1430397868052,-9.53331,0.288015,-1.97676,0.206078,-0.107926,0.136786,0.682688,0.186932,0.594915
01324188,1430397868052,-9.38835,-1.71456,-1.95412,0.270406,-0.0900302,0.00237587,0.705747,0.0652789,0.594406
01324180,1430397868052,-9.30786,2.17809,-0.246657,0.0421279,0.0970868,-0.0101139,0.717377,-0.410311,0.413731
01324189,1430397868069,-9.63797,0.502574,-1.75074,0.314334,-0.132257,0.167422,0.684738,0.188448,0.592766
01324188,1430397868069,-9.56327,-1.94833,-1.87603,0.383772,-0.0772883,-0.00203916,0.706674,0.068057,0.593497
01324180,1430397868069,-9.32742,2.18485,-0.222643,0.150174,0.00804802,-0.00916914,0.717915,-0.411047,0.414515
01324189,1430397868086,-9.56915,0.841141,-1.86781,0.321587,-0.123692,0.197618,0.688151,0.189925,0.590201
01324188,1430397868086,-9.69042,-1.69334,-2.07228,0.504042,-0.108924,-0.021944,0.708274,0.0710182,0.591521
01324180,1430397868086,-9.25617,2.01709,-0.488713,0.345299,-0.0776855,0.0212981,0.716832,-0.410022,0.415358
01324189,1430397868102,-9.57091,0.575384,-1.77106,0.248253,-0.109143,0.170697,0.689531,0.189449,0.588312
01324188,1430397868102,-9.56375,-0.741798,-2.01933,0.512669,-0.1156,-0.0432111,0.710391,0.0777377,0.589504
01324180,1430397868102,-9.23279,1.91708,-1.05456,0.537042,-0.155749,0.0236928,0.71944,-0.406335,0.41862
01324189,1430397868119,-9.46016,1.02262,-1.95665,0.173132,-0.118799,0.153553,0.690364,0.191136,0.585377
01324188,1430397868119,-9.56681,-0.247284,-2.05267,0.379996,-0.136233,-0.0700265,0.709946,0.0844997,0.587522
01324180,1430397868119,-9.48909,1.73371,-1.58009,0.923867,-0.207954,0.0838099,0.720152,-0.400014,0.421424
01324189,1430397868136,-9.83621,0.852915,-2.07308,0.143305,-0.13053,0.131337,0.691204,0.191674,0.582567
01324188,1430397868136,-9.6001,-0.121722,-2.40971,0.247321,-0.170526,-0.0854746,0.710333,0.0875123,0.584895
01324180,1430397868136,-9.5987,1.8058,-2.13178,1.28272,-0.238576,0.112282,0.721381,-0.393429,0.426915
01324189,1430397868152,-9.89855,0.880845,-2.18403,0.144887,-0.197899,0.111932,0.692843,0.193488,0.580559
01324188,1430397868152,-9.73774,-0.0799995,-2.4427,0.235218,-0.184659,-0.0644932,0.711532,0.0899534,0.584898
01324180,1430397868152,-9.85438,1.99238,-1.79491,1.60731,-0.213464,0.183187,0.719763,-0.382751,0.431992
01324189,1430397868169,-9.64769,1.02722,-2.19234,0.170748,-0.275948,0.0872373,0.69477,0.193855,0.577736
01324188,1430397868169,-9.63886,-0.138928,-2.34187,0.24422,-0.213943,-0.0204862,0.71394,0.0932275,0.582128
01324180,1430397868169,-10.2282,2.13861,-1.42557,1.96879,-0.26026,0.174715,0.721201,-0.373019,0.441576
01324189,1430397868186,-9.56731,0.892987,-2.0527,0.180663,-0.310641,0.0411241,0.70119,0.194242,0.574059
01324188,1430397868186,-9.5433,-0.437623,-2.08482,0.316933,-0.245513,0.0203962,0.716892,0.0960397,0.576647
01324180,1430397868186,-10.0705,2.23114,-1.78604,2.33384,-0.305418,0.138013,0.72111,-0.358066,0.451421
01324189,1430397868202,-9.69254,1.029,-1.94339,0.210141,-0.360982,0.0289024,0.704081,0.194004,0.570284
01324188,1430397868202,-9.67772,-0.156257,-1.90824,0.44545,-0.316268,0.0505579,0.720386,0.0983474,0.572466
01324180,1430397868202,-9.62494,2.46537,-1.52423,2.64927,-0.341817,0.0816869,0.723068,-0.337397,0.464711
