ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430391307054,-9.46021,-2.12963,-1.47277,-0.00637413,0.00971335,0.00267385,0.910684,0.635237,0.0536002
01324188,1430391307054,-9.53798,-0.10034,-2.34446,0.0673366,0.00804006,0.0221637,0.799124,0.42645,0.274453
01324180,1430391307054,-8.82376,2.8856,3.51167,0.307897,-0.275332,0.288407,0.910247,-0.0668402,0.0422554
01324189,1430391307088,-9.44898,-2.1252,-1.53133,-0.00278132,0.0303983,0.0150826,0.915227,0.63949,0.0512165
01324188,1430391307088,-9.51606,-0.0523147,-2.32822,0.0489095,0.0152919,-0.000892114,0.801612,0.433123,0.2747
01324180,1430391307088,-8.77594,3.56232,3.25003,0.0597068,-0.296042,0.277178,0.910242,-0.062644,0.033293
01324189,1430391307104,-9.46765,-2.13462,-1.48727,-0.00958141,0.0132266,0.0222037,0.917113,0.639293,0.0498795
01324188,1430391307104,-9.58328,0.0781423,-2.33128,0.0347432,0.0338538,-0.0397409,0.802544,0.433366,0.272193
01324180,1430391307104,-8.68365,3.54935,3.20978,-0.271352,-0.27694,0.269919,0.911638,-0.0656181,0.0247008
01324189,1430391307120,-9.50253,-2.05752,-1.52063,-0.0131174,0.027077,0.0221713,0.917781,0.628989,0.0562317
01324188,1430391307120,-9.63381,0.145601,-2.29781,0.0226497,0.0121551,-0.0241414,0.800847,0.427797,0.272533
01324180,1430391307120,-8.79258,3.32951,3.33559,-0.557484,-0.229196,0.282481,0.910155,-0.0745985,0.0256091
01324189,1430391307135,-9.46881,-2.05261,-1.53086,-0.00450664,0.0166104,0.0151054,0.913788,0.634156,0.0511911
01324188,1430391307135,-9.53211,0.193554,-2.31348,4.56299e-05,-0.00837864,-0.0156571,0.797634,0.430896,0.271706
01324180,1430391307135,-8.83006,2.8454,3.42439,-0.659018,-0.217025,0.265988,0.909254,-0.0749895,0.0218899
01324189,1430391307150,-9.49415,-2.02903,-1.59857,-0.0289568,0.0237585,0.00968304,0.909475,0.635694,0.0538802
01324188,1430391307150,-9.43306,0.183051,-2.24197,-0.0313512,-0.00230248,-0.017561,0.797088,0.433021,0.272371
01324180,1430391307150,-8.65773,2.09982,3.36398,-0.540237,-0.182787,0.238624,0.907862,-0.0798177,0.0210165
01324189,1430391307166,-9.48579,-1.98596,-1.6716,-0.0215558,0.0184505,-0.0187158,0.912133,0.642116,0.0516661
01324188,1430391307166,-9.41624,0.14528,-2.36688,-0.0592878,0.016227,-0.00780776,0.797331,0.43674,0.272332
01324180,1430391307166,-8.65932,1.65504,3.42435,-0.268752,-0.168907,0.205163,0.90791,-0.0820791,0.0167146
01324189,1430391307181,-9.58045,-2.07753,-1.55844,-0.00656519,0.0010832,-0.00972776,0.915604,0.637801,0.0547477
01324188,1430391307181,-9.51334,0.0298681,-2.36027,-0.0715641,0.0306442,-0.0174798,0.800008,0.434376,0.272947
01324180,1430391307181,-8.89984,1.88055,3.51749,0.0138825,-0.177189,0.145462,0.906545,-0.0871653,0.011047
01324189,1430391307196,-9.49255,-2.08162,-1.5111,-0.0179246,-0.000547254,-0.0151096,0.917628,0.632666,0.0559992
01324188,1430391307196,-9.62035,-0.148529,-2.30488,-0.0819952,0.0185802,-0.0194649,0.801093,0.430805,0.275489
01324180,1430391307196,-8.90079,2.74926,3.30718,0.0929765,-0.192346,0.135521,0.908433,-0.0916415,0.0134588
01324189,1430391307211,-9.4044,-2.2047,-1.49812,-0.00640483,0.00710274,-0.000885316,0.916035,0.632138,0.055093
01324188,1430391307211,-9.54367,-0.336802,-2.31339,-0.0541265,0.0106631,-0.0335041,0.799755,0.431993,0.27505
01324180,1430391307211,-8.78561,4.01382,2.99626,-0.232515,-0.18595,0.116211,0.908464,-0.093923,0.0126151
01324189,1430391307227,-9.40212,-2.14885,-1.48342,0.00416211,0.0199589,0.0115635,0.912302,0.634766,0.0523954
01324188,1430391307227,-9.48815,-0.356325,-2.30883,0.0191596,0.00887786,-0.0294735,0.798674,0.434814,0.273255
01324180,1430391307227,-8.39573,3.48386,2.8715,-0.710748,-0.123453,0.05802,0.907923,-0.0924803,0.0118533
01324189,1430391307243,-9.44909,-2.09123,-1.52395,0.000650163,0.0303598,0.0124285,0.912146,0.639713,0.0517786
01324188,1430391307243,-9.51404,-0.16328,-2.32001,0.0190706,0.0200226,-0.0426371,0.795722,0.438381,0.274567
01324180,1430391307243,-8.29986,2.73897,3.11966,-1.06179,-0.0330995,0.0272156,0.906349,-0.0898314,0.00341512
01324189,1430391307260,-9.44539,-2.08212,-1.59943,-0.0221673,0.0236589,-0.00274102,0.911744,0.638456,0.0525619
01324188,1430391307260,-9.5424,0.017718,-2.33106,0.00169085,0.0157335,-0.0277673,0.797066,0.436392,0.273768
01324180,1430391307260,-8.45942,2.22098,3.54057,-1.13466,0.0271219,-0.0247852,0.907139,-0.0883994,0.000505556
01324189,1430391307277,-9.51888,-1.94676,-1.598,-0.00991648,0.0166538,0.00443314,0.913845,0.637012,0.0575213
01324188,1430391307277,-9.53266,0.0437039,-2.25918,-0.0200571,0.0101467,-0.0217826,0.797487,0.432546,0.276301
01324180,1430391307277,-8.55404,1.56914,3.90822,-0.953269,0.0504485,-0.0702091,0.907707,-0.091983,0.000825651
01324189,1430391307293,-9.5041,-2.08756,-1.64236,-0.00745218,0.0131492,-0.00799207,0.916523,0.635108,0.058265
01324188,1430391307293,-9.53518,0.0103252,-2.31179,-0.0574341,-0.00519371,0.00346084,0.798839,0.429439,0.274905
01324180,1430391307293,-8.62239,1.21978,4.00229,-0.541734,0.0477309,-0.0808836,0.908764,-0.0905508,-0.0028859
01324189,1430391307310,-9.42517,-2.10588,-1.55112,-0.00646553,0.00623497,-0.0026588,0.915988,0.637095,0.0569722
01324188,1430391307310,-9.52858,-0.177311,-2.37511,-0.055777,0.0143791,-0.00515544,0.798032,0.430497,0.277094
01324180,1430391307310,-8.76542,1.41577,4.02614,-0.102295,0.0386566,-0.0719336,0.907161,-0.0893864,-0.00177559
01324189,1430391307326,-9.43832,-2.17325,-1.48537,-0.00738152,0.0183359,-0.00623393,0.913615,0.639394,0.0521539
01324188,1430391307326,-9.55806,-0.312039,-2.40013,0.0121815,0.0187518,-0.018803,0.797471,0.435511,0.274105
01324180,1430391307326,-8.91006,1.68022,4.19534,0.283384,0.0230259,-0.097639,0.907357,-0.0848357,0.00123785
01324189,1430391307343,-9.45839,-2.17371,-1.53374,-0.00105959,0.00965964,0.00979869,0.908771,0.641085,0.0543244
01324188,1430391307343,-9.57762,-0.365745,-2.29361,0.0435944,0.0198837,-0.0221187,0.796539,0.435538,0.273854
01324180,1430391307343,-8.8906,2.00049,4.28911,0.588457,0.0015846,-0.109852,0.906698,-0.0854035,0.00256637
01324189,1430391307360,-9.44082,-2.0385,-1.59939,-0.0148252,0.0374343,0.0274637,0.91092,0.638911,0.0546776
01324188,1430391307360,-9.59664,-0.278745,-2.3135,0.0391582,0.00623311,-0.043545,0.795067,0.43668,0.274471
01324180,1430391307360,-8.7668,2.56848,4.12428,0.686594,-0.0031409,-0.114426,0.908783,-0.0824296,0.000865698
01324189,1430391307376,-9.47484,-2.09219,-1.63064,-0.014978,0.0184309,0.0132902,0.914411,0.634445,0.0557864
01324188,1430391307376,-9.56707,-0.115268,-2.26228,0.022585,0.0199127,-0.0399695,0.796676,0.434594,0.275644
01324180,1430391307376,-8.58712,2.93427,3.96856,0.656864,-0.0157024,-0.102344,0.908533,-0.0834221,0.000317632
01324189,1430391307393,-9.45479,-2.07228,-1.57493,-0.0134664,0.00976139,-0.00446081,0.916811,0.634667,0.0562868
01324188,1430391307393,-9.48447,-0.0110243,-2.389,-0.0227167,0.0170215,-0.0208294,0.798274,0.434611,0.2747
01324180,1430391307393,-8.46516,3.08675,3.83526,0.577771,0.00509646,-0.102689,0.908524,-0.0818395,-0.00151326
01324189,1430391307410,-9.4506,-2.024,-1.59921,0.00744032,0.0147262,0.000928944,0.918407,0.635758,0.0565403
01324188,1430391307410,-9.41207,-0.0426302,-2.38928,-0.026162,0.0114009,-0.0138225,0.798017,0.433133,0.275802
01324180,1430391307410,-8.34632,3.07149,3.81217,0.436367,-0.0036769,-0.128291,0.908885,-0.0800044,0.00117814
01324189,1430391307426,-9.42564,-2.08669,-1.5754,-0.00998587,0.00971828,-0.00445449,0.913879,0.636712,0.0541015
