ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430391162012,-9.61121,-1.33574,-1.83152,0.142003,-0.00601412,0.0964051,0.467835,0.497067,-0.0302321
01324188,1430391162012,-9.71093,-0.548266,-2.32008,0.417709,-0.0478298,0.124617,0.683819,0.47011,0.211977
01324180,1430391162012,1.72971,9.20389,1.91753,0.413402,-2.03161,2.42623,-0.186122,-0.732373,-0.697076
01324189,1430391162016,-9.57517,-1.22392,-1.80259,0.147129,0.000827578,0.0928478,0.466221,0.508931,-0.0362879
01324188,1430391162016,-9.69567,-0.320608,-2.12976,0.429922,-0.0455856,0.115867,0.686303,0.477232,0.205265
01324180,1430391162016,1.90419,8.2881,2.90014,0.458762,-1.9821,2.39319,-0.249841,-0.717745,-0.691087
01324189,1430391162032,-9.56534,-1.03065,-1.87529,0.131347,0.00960459,0.0892194,0.466093,0.508088,-0.036293
01324188,1430391162032,-9.66532,0.0553339,-2.12378,0.374101,-0.0627966,0.109979,0.685517,0.476051,0.200194
01324180,1430391162032,2.43352,7.22625,3.93857,0.719077,-2.01203,2.33622,-0.302763,-0.706502,-0.675228
01324189,1430391162048,-9.51581,-1.08819,-1.82507,0.0964859,-0.00386356,0.0784582,0.469851,0.49968,-0.0333831
01324188,1430391162048,-9.60139,0.363412,-2.08376,0.31299,-0.0401562,0.106268,0.687652,0.474541,0.198098
01324180,1430391162048,3.40277,6.28391,4.19901,1.11953,-2.08928,2.3149,-0.347106,-0.699881,-0.650685
01324189,1430391162064,-9.57858,-1.15774,-2.00924,0.0790245,-0.00197086,0.0748526,0.469879,0.498822,-0.0357517
01324188,1430391162064,-9.50016,0.276583,-2.13189,0.24841,-0.0331987,0.102382,0.688058,0.473671,0.19514
01324180,1430391162064,4.40763,5.65434,3.21459,1.63425,-2.09727,2.29135,-0.398966,-0.695449,-0.619968
01324189,1430391162080,-9.61036,-1.07053,-1.99152,0.0791684,-0.0174867,0.0837718,0.471205,0.498792,-0.0348484
01324188,1430391162080,-9.5254,-0.0288581,-2.22517,0.192495,-0.0290136,0.086122,0.688864,0.472473,0.192947
01324180,1430391162080,5.41998,5.32829,1.83561,2.2478,-2.04429,2.26892,-0.446215,-0.693993,-0.581807
01324189,1430391162096,-9.56544,-1.13767,-1.92908,0.0615211,-0.0104279,0.0641467,0.470463,0.50047,-0.0420428
01324188,1430391162096,-9.56947,-0.181093,-2.15126,0.220371,-0.0180489,0.0775797,0.691251,0.47344,0.189682
01324180,1430391162096,6.60847,5.22171,0.440211,2.67148,-1.89451,2.19323,-0.494268,-0.694131,-0.537157
01324189,1430391162112,-9.47228,-1.09775,-1.83305,0.0858442,-0.0106923,0.0624348,0.470742,0.5013,-0.0438763
01324188,1430391162112,-9.60816,-0.163382,-1.90327,0.237045,-0.0115983,0.088375,0.690721,0.473385,0.187972
01324180,1430391162112,7.68558,5.49,-0.461243,2.84362,-1.65207,2.122,-0.533479,-0.696147,-0.490415
01324189,1430391162128,-9.55368,-1.05383,-1.74897,0.0754073,-0.0157345,0.0606486,0.472757,0.495896,-0.041973
01324188,1430391162128,-9.57359,0.0391348,-1.92223,0.217871,-0.0289274,0.0862826,0.69246,0.471657,0.184549
01324180,1430391162128,8.55739,6.06831,-0.773369,2.79238,-1.32474,2.05358,-0.570497,-0.693485,-0.445338
01324189,1430391162144,-9.65838,-1.03404,-1.9469,0.0525568,-0.0103393,0.0472523,0.473012,0.49674,-0.0411821
01324188,1430391162144,-9.60681,0.201761,-2.063,0.208262,-0.0309991,0.0923813,0.694588,0.471219,0.183969
01324180,1430391162144,8.81161,6.68664,-0.530673,2.58854,-1.04232,2.00514,-0.602109,-0.689322,-0.404427
01324189,1430391162160,-9.67925,-1.19163,-1.95183,0.0960391,-0.0315073,0.0430012,0.473299,0.495596,-0.0426374
01324188,1430391162160,-9.62841,0.233982,-2.17863,0.17596,-0.0141067,0.100309,0.694593,0.470783,0.181042
01324180,1430391162160,8.14625,8.07923,-0.345866,2.27423,-0.793904,2.02296,-0.628739,-0.680071,-0.370394
01324189,1430391162177,-9.75648,-0.935467,-1.98899,0.103066,-0.0298267,0.0536941,0.474638,0.499217,-0.0453794
01324188,1430391162177,-9.70829,0.202828,-2.16329,0.118377,-0.0190453,0.092769,0.696174,0.472953,0.179838
01324180,1430391162177,7.41202,8.66022,-0.180687,1.92334,-0.58934,2.07699,-0.653033,-0.665841,-0.340944
01324189,1430391162193,-9.73474,-1.04347,-1.87276,0.0873548,-0.0382976,0.0438831,0.47385,0.498387,-0.0461642
01324188,1430391162193,-9.72282,0.195748,-2.17755,0.10437,-0.010009,0.0856904,0.695131,0.470053,0.178091
01324180,1430391162193,7.11603,8.3821,-0.228601,1.60081,-0.414435,2.12717,-0.677786,-0.643288,-0.318362
01324189,1430391162210,-9.64596,-1.16619,-1.81599,0.0927329,-0.0400814,0.0518858,0.474804,0.495398,-0.0464605
01324188,1430391162210,-9.70877,0.0769236,-2.08514,0.124373,-0.000443137,0.0700061,0.697268,0.468515,0.173489
01324180,1430391162210,7.35111,7.57281,-0.588394,1.3176,-0.254591,2.19306,-0.702352,-0.62342,-0.300617
01324189,1430391162227,-9.49088,-1.14117,-1.7988,0.118926,-0.0369231,0.0608223,0.474983,0.492979,-0.0497613
01324188,1430391162227,-9.61717,0.0154659,-1.96258,0.131369,-0.0308043,0.0520339,0.697811,0.466871,0.1718
01324180,1430391162227,7.45586,6.6482,-0.684277,1.03022,-0.154125,2.24268,-0.723293,-0.595159,-0.289664
01324189,1430391162243,-9.50023,-1.00489,-1.71559,0.106577,-0.0428415,0.048355,0.474841,0.492987,-0.0488413
01324188,1430391162243,-9.48158,0.0822665,-1.93296,0.156638,-0.0541869,0.0342672,0.698866,0.468017,0.17133
01324180,1430391162243,7.76534,5.51567,-0.51832,0.842641,-0.0968234,2.27144,-0.744954,-0.571429,-0.282509
01324189,1430391162260,-9.50176,-1.03004,-1.83244,0.0733599,-0.0243987,0.0393237,0.475378,0.496207,-0.0511838
01324188,1430391162260,-9.39915,0.151687,-1.90536,0.150461,-0.0295209,0.0274252,0.699118,0.470327,0.170678
01324180,1430391162260,7.76945,4.49254,-0.538397,0.776581,-0.0653931,2.2622,-0.760598,-0.542796,-0.277735
01324189,1430391162276,-9.54625,-0.952937,-1.86079,0.0669794,-0.017446,0.0215275,0.476047,0.496471,-0.0514516
01324188,1430391162276,-9.51019,0.197632,-1.86641,0.0806178,-0.00410583,0.0210126,0.700192,0.468674,0.168982
01324180,1430391162276,8.31939,3.62829,-0.827756,0.792652,-0.0563898,2.2084,-0.777298,-0.514725,-0.271363
01324189,1430391162293,-9.61812,-0.962539,-1.81106,0.0469006,-0.0396703,0.0108549,0.476336,0.494342,-0.052521
01324188,1430391162293,-9.58712,0.313673,-1.87167,0.040522,-0.00453479,0.0277988,0.699527,0.469054,0.167168
01324180,1430391162293,8.83107,3.11421,-1.1784,0.825857,-0.00927478,2.13925,-0.796088,-0.48862,-0.263937
01324189,1430391162310,-9.53095,-1.00836,-1.83195,0.0214579,-0.0325471,-0.00525216,0.477283,0.492763,-0.0529375
01324188,1430391162310,-9.63589,0.260853,-1.90929,0.0037758,0.0109199,0.048087,0.699425,0.467623,0.166099
01324180,1430391162310,9.19297,2.51917,-1.34245,0.839536,0.0848388,2.0369,-0.809877,-0.46131,-0.258153
01324189,1430391162326,-9.52945,-1.03427,-1.73955,0.0275946,-0.0325959,-0.00345325,0.476363,0.492499,-0.0542412
01324188,1430391162326,-9.61983,0.0153038,-1.96975,0.00201713,0.00586983,0.0444905,0.70089,0.467078,0.164993
01324180,1430391162326,9.32953,2.09164,-1.38938,0.795969,0.173349,1.89733,-0.820478,-0.434893,-0.255487
01324189,1430391162343,-9.58783,-1.10273,-1.78751,0.0448951,-0.0379566,-0.0104815,0.475856,0.491514,-0.0564735
01324188,1430391162343,-9.57499,-0.290758,-2.01063,0.0248248,-0.0143488,0.0656824,0.701577,0.463303,0.166071
01324180,1430391162343,9.21717,1.80033,-1.35583,0.606775,0.30565,1.73349,-0.827886,-0.40864,-0.258449
01324189,1430391162359,-9.61207,-1.20981,-1.83607,0.0503434,-0.0328121,0.00552456,0.477183,0.491484,-0.0555703
01324188,1430391162359,-9.58486,-0.346276,-1.99562,0.115551,-0.0244843,0.0644216,0.701578,0.463191,0.165405
01324180,1430391162359,8.78949,1.80814,-0.968488,0.279444,0.444656,1.55666,-0.834441,-0.386667,-0.26403
01324189,1430391162376,-9.62211,-1.06419,-1.79663,0.0562877,-0.0397844,-0.00332633,0.477433,0.494017,-0.0554222
01324188,1430391162376,-9.61345,-0.226155,-1.91948,0.153937,-0.0166558,0.0665309,0.704091,0.464637,0.167177
01324180,1430391162376,7.97311,1.95665,-0.622831,-0.170352,0.552786,1.41413,-0.839659,-0.366431,-0.269267
01324189,1430391162393,-9.69069,-1.08435,-1.85892,0.0763872,-0.0468801,0.00387439,0.476792,0.492755,-0.0573927
01324188,1430391162393,-9.73343,0.024659,-1.86788,0.148725,-0.0134168,0.0718143,0.702242,0.463377,0.164222
01324180,1430391162393,7.93469,1.51019,-0.442003,-0.553503,0.643494,1.2751,-0.841853,-0.343073,-0.280727
01324189,1430391162409,-9.63816,-1.03325,-1.55295,0.0851138,-0.0383102,0.00388128,0.477332,0.493441,-0.058443
01324188,1430391162409,-9.78116,0.198259,-1.84502,0.122585,-0.00271248,0.0823604,0.704371,0.462796,0.163633
01324180,1430391162409,8.16347,0.78602,0.281208,-0.79045,0.69101,1.11985,-0.840457,-0.320752,-0.296244
01324189,1430391162426,-9.41565,-1.13943,-1.61984,0.0737052,-0.0287692,-0.00332468,0.476287,0.492894,-0.0605347
01324188,1430391162426,-9.68962,0.124296,-1.65738,0.0799654,-0.0188464,0.0889855,0.705161,0.464444,0.158582
01324180,1430391162426,7.33286,0.530644,0.687337,-0.821989,0.721071,1.01009,-0.840848,-0.301512,-0.316311
01324189,1430391162442,-9.48352,-1.02064,-1.57229,0.0726881,-0.0175257,-0.0104444,0.476952,0.49316,-0.0604089
01324188,1430391162442,-9.50159,-0.016258,-1.65275,0.0556186,-0.0333392,0.0975429,0.705824,0.464755,0.157802
01324180,1430391162442,6.70602,-0.0929272,0.987108,-0.726956,0.727504,0.877095,-0.839407,-0.283913,-0.329531
01324189,1430391162459,-9.58694,-1.03174,-1.69488,0.032474,-0.0153939,-0.0247801,0.47828,0.494113,-0.0602852
01324188,1430391162459,-9.57897,-0.0343654,-1.78193,0.048518,-0.0102288,0.0880034,0.706369,0.462388,0.159365
01324180,1430391162459,6.52477,-0.635361,0.953361,-0.507084,0.730417,0.771158,-0.838215,-0.268606,-0.340403
01324189,1430391162475,-9.57029,-1.14476,-1.59805,0.0273548,-0.0239599,-0.0230048,0.478661,0.495238,-0.0589687
01324188,1430391162475,-9.79617,0.0671839,-1.70897,0.0265981,-0.00527182,0.060435,0.707705,0.461275,0.158225
01324180,1430391162475,6.76271,-0.754813,1.10244,-0.260239,0.678771,0.677326,-0.834739,-0.256902,-0.351776
01324189,1430391162492,-9.58196,-1.12998,-1.56133,0.0328216,-0.010171,-0.00346374,0.478684,0.494241,-0.0608135
