ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430393772525,-9.30199,-0.338663,-3.08547,0.0154123,-0.000466092,-0.0385989,1.14307,0.452273,0.0255678
01324188,1430393772525,-9.40139,-0.379101,-2.84513,-0.0592116,0.0236184,0.000859462,0.813464,0.465637,0.161689
01324180,1430393772525,-9.59585,2.97515,2.73184,-0.416302,0.0970363,0.132538,0.888326,-0.00799749,0.0753791
01324189,1430393772528,-9.3095,-0.295065,-3.08282,-0.000119024,0.0117961,-0.0280114,1.1452,0.462753,0.022311
01324188,1430393772528,-9.43475,-0.243972,-2.84369,-0.038318,0.0215418,-0.0078801,0.812347,0.473347,0.15739
01324180,1430393772528,-9.90339,2.71253,3.0319,-0.278407,0.0425408,0.2482,0.884579,-0.00447348,0.0733639
01324189,1430393772544,-9.2639,-0.285378,-3.10782,-0.0209774,0.0189059,-0.0263269,1.14252,0.461109,0.0216654
01324188,1430393772544,-9.38107,-0.111003,-2.92472,-0.0365917,0.0171861,-0.00791108,0.810212,0.471597,0.158639
01324180,1430393772544,-9.77376,3.01973,2.88502,0.11328,-0.0179623,0.367226,0.882785,-0.00931591,0.0719566
01324189,1430393772560,-9.28609,-0.290547,-3.13671,-0.0105406,0.0136201,-0.0262782,1.13983,0.453356,0.0256131
01324188,1430393772560,-9.38846,-0.149571,-2.92191,-0.0627535,0.01201,-0.00991681,0.810639,0.466991,0.164602
01324180,1430393772560,-9.67051,3.76382,2.47928,0.244784,-0.01292,0.498368,0.884618,-0.0199957,0.075596
01324189,1430393772576,-9.30223,-0.372834,-3.11719,-0.0190371,0.0171854,-0.0138706,1.14009,0.454204,0.0253515
01324188,1430393772576,-9.39119,-0.234218,-2.88262,-0.0487037,0.00598493,0.00604545,0.810105,0.466544,0.165113
01324180,1430393772576,-9.66145,3.62378,2.4931,0.0239046,-0.0575779,0.586294,0.883656,-0.0272856,0.0727908
01324189,1430393772592,-9.28614,-0.370807,-3.17584,-0.00674317,0.0118795,-0.00493899,1.14306,0.455263,0.0245305
01324188,1430393772592,-9.35746,-0.267863,-2.91627,-0.0330942,0.00867605,-0.0115123,0.811705,0.468159,0.163863
01324180,1430393772592,-9.72761,2.88693,2.71074,-0.173293,-0.0715741,0.630497,0.886151,-0.0360844,0.072045
01324189,1430393772607,-9.29535,-0.380305,-3.14652,0.0123931,0.0203211,-0.0031114,1.14329,0.461531,0.0245772
01324188,1430393772607,-9.32834,-0.234312,-2.90236,-0.0034315,-0.0100098,-0.0185917,0.812215,0.472621,0.160673
01324180,1430393772607,-9.57626,2.65362,2.57077,-0.104617,-0.0991241,0.706253,0.884975,-0.0476771,0.0690237
01324189,1430393772623,-9.30652,-0.266905,-3.19962,0.00704892,0.0255427,-0.00846977,1.14397,0.461653,0.0240401
01324188,1430393772623,-9.35197,-0.08018,-2.86507,0.0174373,0.0180442,-0.0216902,0.812885,0.47256,0.161725
01324180,1430393772623,-9.48569,2.9844,2.4333,0.0883102,-0.121014,0.699469,0.884801,-0.0546999,0.0672822
01324189,1430393772639,-9.29157,-0.227713,-3.15351,-0.00862698,0.0170716,-0.012063,1.14076,0.455044,0.025881
01324188,1430393772639,-9.35165,0.0112258,-2.83462,0.00352436,0.0209815,-0.012021,0.810637,0.467471,0.163567
01324180,1430393772639,-9.28042,3.81973,2.18856,0.0912746,-0.0840567,0.699028,0.884389,-0.0659093,0.0700077
01324189,1430393772655,-9.29528,-0.290315,-3.10249,-0.0147282,0.00332529,-0.0173863,1.14007,0.456631,0.0259013
01324188,1430393772655,-9.4434,0.0317312,-2.96163,-0.0243906,0.0341505,0.00119556,0.81063,0.468501,0.163099
01324180,1430393772655,-9.38231,4.16499,2.2958,-0.155811,-0.0666643,0.704728,0.885047,-0.076544,0.0695196
01324189,1430393772671,-9.27589,-0.382609,-3.14195,-0.00505849,0.0066779,-0.0102557,1.14143,0.456878,0.0253574
01324188,1430393772671,-9.45626,-0.171926,-2.79123,-0.0322281,0.0278369,-0.0113158,0.810626,0.46902,0.164328
01324180,1430393772671,-9.50456,3.21855,2.18066,-0.146029,-0.0615687,0.757369,0.885154,-0.0854462,0.0690739
01324189,1430393772687,-9.27124,-0.329211,-3.13215,-0.0191237,0.0154428,-0.0192051,1.14222,0.462696,0.023803
01324188,1430393772687,-9.36218,-0.229868,-2.82994,0.00707594,0.0211966,0.000402109,0.811006,0.472885,0.161636
01324180,1430393772687,-9.1107,2.02715,2.06438,0.270711,-0.0506776,0.722774,0.886986,-0.0926303,0.064358
01324189,1430393772704,-9.30069,-0.339275,-3.16337,0.000116664,0.0169847,-0.0102536,1.14126,0.461591,0.0260595
01324188,1430393772704,-9.36191,-0.16169,-2.92682,0.0140654,0.00968197,0.00474798,0.812219,0.472021,0.161168
01324180,1430393772704,-8.86383,2.38755,2.03977,0.825476,-0.0110932,0.686153,0.886033,-0.101658,0.0639252
01324189,1430393772720,-9.27598,-0.324308,-3.12234,0.00280177,0.0186902,-0.00492147,1.143,0.460269,0.0274879
01324188,1430393772720,-9.3231,-0.132296,-3.01402,5.64917e-05,0.0167745,0.00119606,0.812091,0.470595,0.164008
01324180,1430393772720,-8.58538,3.44245,2.57511,0.803756,0.0209334,0.565115,0.887207,-0.112757,0.0675659
01324189,1430393772737,-9.2531,-0.295777,-3.20293,0.0036071,0.0134814,-0.00846875,1.14059,0.458617,0.026574
01324188,1430393772737,-9.40044,-0.118416,-2.88841,-0.0217202,0.0236169,0.00287841,0.810761,0.469061,0.163398
01324180,1430393772737,-8.7287,2.39238,3.11169,0.666105,-0.000592256,0.377488,0.885638,-0.115905,0.0703344
01324189,1430393772754,-9.29531,-0.358404,-3.13429,0.0123442,-0.00385487,-0.0101742,1.13951,0.460352,0.0256717
01324188,1430393772754,-9.50434,-0.10374,-2.86367,-0.0102484,0.0170646,0.0294195,0.811563,0.469286,0.164466
01324180,1430393772754,-7.59469,1.60171,2.8985,0.797908,-0.0748762,0.254271,0.887509,-0.117524,0.0716124
01324189,1430393772770,-9.28577,-0.312254,-3.12459,0.00963092,0.00479601,-0.0155324,1.13902,0.456505,0.023658
01324188,1430393772770,-9.43447,-0.166783,-2.8492,0.000275246,0.0028785,0.0346583,0.811024,0.469763,0.163704
01324180,1430393772770,-7.37797,1.92935,3.20208,1.02587,-0.109809,0.109562,0.888089,-0.121116,0.0701954
01324189,1430393772787,-9.28521,-0.362995,-3.10769,0.00702275,0.00137043,-0.0173109,1.14251,0.459124,0.0239042
01324188,1430393772787,-9.36966,-0.283603,-2.72592,0.0648971,-0.00597353,0.0403249,0.813031,0.470497,0.16266
01324180,1430393772787,-7.08409,2.99751,2.49066,1.08434,-0.113121,0.0371383,0.891513,-0.119606,0.0717803
01324189,1430393772803,-9.25665,-0.372877,-3.14708,-0.00177496,0.0117998,-0.0226964,1.14249,0.45842,0.0257553
01324188,1430393772803,-9.33845,-0.348434,-2.78092,0.0936655,-0.0093092,0.0387225,0.813442,0.469179,0.162973
01324180,1430393772803,-6.93994,3.86098,1.79598,1.0159,-0.0438246,-0.0514212,0.891335,-0.115872,0.0721245
01324189,1430393772820,-9.2663,-0.39478,-3.15429,0.028027,0.0149695,-0.00483143,1.14223,0.457569,0.0252211
01324188,1430393772820,-9.32132,-0.301683,-2.92587,0.090081,-0.00529013,0.0281249,0.813849,0.468504,0.161862
01324180,1430393772820,-7.10502,4.48285,1.69628,0.947723,0.0309182,-0.158394,0.891826,-0.113016,0.0733776
01324189,1430393772836,-9.26624,-0.387453,-3.14697,0.0142469,0.015126,0.00400659,1.13954,0.457635,0.0243239
01324188,1430393772836,-9.34765,-0.224765,-2.87823,0.0874984,-0.00556141,0.0334074,0.812252,0.466918,0.159389
01324180,1430393772836,-7.31944,5.26559,1.85315,0.884051,0.0671041,-0.137202,0.892028,-0.109018,0.0766634
01324189,1430393772853,-9.29039,-0.35348,-3.12706,0.0194066,0.0150758,0.000474674,1.13899,0.460926,0.0236931
01324188,1430393772853,-9.40567,-0.220333,-2.79119,0.0892521,0.00991923,0.0371193,0.813054,0.467198,0.159263
01324180,1430393772853,-7.7971,5.75812,2.22819,0.728183,0.0750987,-0.129112,0.893018,-0.103589,0.0783615
01324189,1430393772869,-9.27571,-0.343612,-3.11265,0.0144906,0.0289681,0.0235292,1.1383,0.460811,0.0255565
01324188,1430393772869,-9.44895,-0.161674,-2.88283,0.0770422,0.00276878,0.0404904,0.81251,0.468711,0.1579
01324180,1430393772869,-8.47211,6.04215,2.46966,0.473623,0.056253,-0.109533,0.893091,-0.0990011,0.0793876
01324189,1430393772886,-9.26659,-0.322001,-3.14194,0.000499644,0.0273732,0.0181522,1.14194,0.458866,0.0264281
01324188,1430393772886,-9.44397,-0.123081,-2.88803,0.0455879,0.0101187,0.0315052,0.814787,0.468936,0.158418
01324180,1430393772886,-8.64185,5.78155,2.27082,0.105114,0.0496178,-0.104903,0.895729,-0.0997967,0.0846825
01324189,1430393772902,-9.29043,-0.380246,-3.14172,0.00580775,0.0264685,0.0235077,1.14182,0.45787,0.0262891
01324188,1430393772902,-9.40529,-0.12081,-2.88835,0.0316497,0.00138631,0.0313198,0.814657,0.468388,0.157853
01324180,1430393772902,-8.61372,5.29391,2.30709,-0.264006,0.0486925,-0.12847,0.894136,-0.0988947,0.0825839
01324189,1430393772919,-9.28619,-0.363539,-3.17582,-0.00305256,0.0394893,0.0145677,1.14168,0.457589,0.0262884
01324188,1430393772919,-9.35234,-0.186053,-2.89539,0.0681774,0.0162805,0.0140426,0.815329,0.468084,0.157959
01324180,1430393772919,-8.63542,4.74819,2.30146,-0.509095,0.0603825,-0.145893,0.894644,-0.0970387,0.0828809
01324189,1430393772936,-9.27708,-0.339505,-3.20511,0.000550431,0.0342793,0.0234715,1.13949,0.457661,0.0293637
01324188,1430393772936,-9.36676,-0.166344,-2.9484,0.0890732,0.0233743,0.0124913,0.813736,0.465948,0.15492
01324180,1430393772936,-8.82288,4.20256,2.56246,-0.634907,0.0529631,-0.153866,0.891598,-0.0953744,0.0776091
01324189,1430393772952,-9.27203,-0.370981,-3.20526,0.00915227,0.043676,0.0181515,1.14125,0.457897,0.0288152
