ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430395963172,-9.78899,0.465525,-0.315581,-0.0201563,0.00878476,0.0139531,0.7102,-0.121658,-0.164165
01324188,1430395963172,-9.80901,0.15664,-0.269231,-0.0218705,0.00375702,0.00630165,0.737054,-0.132112,-0.186083
01324180,1430395963172,-9.23397,3.29922,1.12927,-0.0626538,0.0038315,0.0261064,0.64129,-0.338776,-0.318753
01324189,1430395963175,-9.80608,0.48726,-0.315271,-0.0166393,0.00530347,0.0166397,0.708855,-0.117628,-0.16785
01324188,1430395963175,-9.84284,0.165907,-0.196858,-0.0113856,0.0122968,0.0100008,0.73569,-0.12851,-0.188511
01324180,1430395963175,-9.22403,3.26511,1.17026,-0.0486375,0.00747565,0.020935,0.638472,-0.334383,-0.323714
01324189,1430395963191,-9.78856,0.419569,-0.305961,-0.00603839,0.0112491,0.0282116,0.706841,-0.118871,-0.169169
01324188,1430395963191,-9.83784,0.209491,-0.226169,-0.0113811,-0.00315751,0.00629085,0.73677,-0.129367,-0.189111
01324180,1430395963191,-9.23119,3.26028,1.16292,-0.053936,0.0145768,0.0156768,0.63821,-0.334811,-0.323451
01324189,1430395963207,-9.78866,0.434106,-0.305925,-0.0115464,0.0155944,0.00863901,0.709949,-0.123377,-0.165242
01324188,1430395963207,-9.83778,0.224024,-0.235927,-0.0218838,0.0141982,0.00640922,0.736385,-0.132477,-0.187298
01324180,1430395963207,-9.21431,3.26782,1.15346,-0.0433407,0.00399335,0.0209426,0.638856,-0.337179,-0.313998
01324189,1430395963223,-9.80801,0.453486,-0.295851,-0.0209674,0.00880551,0.0175082,0.709947,-0.123947,-0.164713
01324188,1430395963223,-9.82823,0.1903,-0.245322,-0.0288353,0.00790875,0.00983542,0.736651,-0.131893,-0.187532
01324180,1430395963223,-9.23819,3.25793,1.13407,-0.0399508,0.00584056,0.0246391,0.639257,-0.337276,-0.312704
01324189,1430395963239,-9.75019,0.477877,-0.306401,-0.00636945,0.00516842,0.00511407,0.710342,-0.12238,-0.164438
01324188,1430395963239,-9.82826,0.183033,-0.240443,-0.0252904,-0.0105642,0.0140822,0.736251,-0.132669,-0.186241
01324180,1430395963239,-9.2137,3.2216,1.17277,-0.0414242,-0.0116754,0.0227343,0.639519,-0.336557,-0.313497
01324189,1430395963255,-9.82256,0.446118,-0.300516,-0.018381,0.0182761,0.017502,0.708314,-0.119758,-0.166661
01324188,1430395963255,-9.77024,0.185167,-0.231289,-0.0235915,-0.00320835,0.00621778,0.736094,-0.128661,-0.188525
01324180,1430395963255,-9.1216,3.20819,1.1736,-0.038943,0.00425815,0.0149253,0.638194,-0.333754,-0.321193
01324189,1430395963271,-9.81314,0.487346,-0.300561,-0.0235554,0.00710902,0.0192801,0.70846,-0.119481,-0.16786
01324188,1430395963271,-9.78706,0.214062,-0.216981,-0.0236206,0.0175597,0.00821196,0.736365,-0.12891,-0.189477
01324180,1430395963271,-9.08749,3.19672,1.15453,-0.0492192,0.035406,0.0335301,0.637678,-0.334602,-0.322274
01324189,1430395963287,-9.81294,0.477733,-0.290851,-0.0304589,-0.0014469,0.02105,0.708874,-0.123067,-0.166427
01324188,1430395963287,-9.81366,0.209403,-0.226357,-0.0218459,0.000193809,0.00802977,0.735989,-0.133386,-0.18935
01324180,1430395963287,-9.16532,3.2197,1.17807,-0.0745593,0.0317768,0.0351258,0.638606,-0.33681,-0.316571
01324189,1430395963302,-9.84691,0.438653,-0.312336,-0.0210611,0.00535101,0.0104142,0.710222,-0.123813,-0.165115
01324188,1430395963302,-9.82331,0.214427,-0.250392,-0.0392947,0.0111742,0.0133399,0.735305,-0.131334,-0.189748
01324180,1430395963302,-9.16549,3.22679,1.19261,-0.0926762,0.0295021,0.0138976,0.639001,-0.336822,-0.315639
01324189,1430395963318,-9.79865,0.443621,-0.322789,-0.0166177,0.000121793,0.0166485,0.708586,-0.12248,-0.165086
01324188,1430395963318,-9.79443,0.178288,-0.269541,-0.0236064,0.00703819,0.00986744,0.73705,-0.1311,-0.189221
01324180,1430395963318,-9.15315,3.21255,1.18298,-0.0925967,0.0368671,-0.00363943,0.639795,-0.336841,-0.314847
01324189,1430395963335,-9.79605,0.443728,-0.310658,-0.00967789,-0.00944754,0.0140239,0.708857,-0.120773,-0.166142
01324188,1430395963335,-9.77026,0.175856,-0.279333,-0.0271054,0.00711528,0.00807813,0.735183,-0.133553,-0.18855
01324180,1430395963335,-9.18929,3.19256,1.20669,-0.113615,0.0394518,-0.00550937,0.637676,-0.335626,-0.319481
01324189,1430395963352,-9.79616,0.472841,-0.305719,-0.0139798,0.00182606,0.0193189,0.70886,-0.119917,-0.166935
01324188,1430395963352,-9.77499,0.206985,-0.245888,-0.0219607,0.0133715,-0.0112909,0.735718,-0.133118,-0.188796
01324180,1430395963352,-9.17143,3.12026,1.21613,-0.0973678,0.0206405,-0.0266597,0.63875,-0.335923,-0.320976
