ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430395860562,-9.75511,0.747116,0.214131,0.0586345,0.0142612,-0.0252875,0.757375,-0.0702279,0.721938
01324188,1430395860562,-9.43427,1.10701,2.22196,0.203451,-0.0186427,-0.0508067,0.784925,-0.242212,0.409573
01324180,1430395860562,-9.35419,-0.285239,1.90592,-0.708406,-0.0637805,-0.0672235,0.767058,-0.305163,0.40632
01324189,1430395860565,-9.80313,0.720401,0.231831,0.0474199,0.0152624,-0.0199864,0.757215,-0.0614873,0.719074
01324188,1430395860565,-9.49585,1.46181,2.19997,0.198114,0.0180639,-0.0540006,0.785024,-0.236185,0.407277
01324180,1430395860565,-9.35517,-0.572481,1.90433,-0.29496,-0.0562048,-0.108583,0.766273,-0.30455,0.402326
01324189,1430395860581,-9.82968,0.640104,0.202833,0.0695435,0.00989301,0.00586845,0.755966,-0.0598673,0.720969
01324188,1430395860581,-9.53409,1.58492,2.19915,0.201519,0.0309085,-0.0662365,0.783677,-0.235937,0.408643
01324180,1430395860581,-9.39778,0.120973,1.79172,0.149699,-0.0274122,-0.147588,0.766536,-0.303683,0.400866
01324189,1430395860597,-9.82305,0.707857,0.18829,0.0824839,0.0209706,0.00233504,0.75748,-0.0644945,0.721582
01324188,1430395860597,-9.52419,1.64326,2.12635,0.253865,0.0322897,-0.0570123,0.784199,-0.233747,0.41104
01324180,1430395860597,-9.40403,0.844879,1.57814,0.496134,0.00251972,-0.17226,0.768057,-0.29957,0.406015
01324189,1430395860612,-9.85205,0.775848,0.222965,0.0744755,0.0201844,-0.0101234,0.75449,-0.0638418,0.721622
01324188,1430395860612,-9.50433,1.78132,2.02387,0.252038,0.0175752,-0.0748869,0.783652,-0.232385,0.412999
01324180,1430395860612,-9.55898,1.43311,1.47594,0.727384,0.0047035,-0.190823,0.768771,-0.292974,0.407207
01324189,1430395860628,-9.84218,0.780851,0.237432,0.0643077,0.00650185,0.00585836,0.755566,-0.0630069,0.72215
01324188,1430395860628,-9.49425,1.89036,1.94099,0.217147,0.00958464,-0.0734439,0.784981,-0.230128,0.413656
01324180,1430395860628,-9.66374,2.06034,1.39377,0.867111,0.027186,-0.189603,0.771431,-0.284137,0.412702
01324189,1430395860644,-9.8418,0.776199,0.261755,0.046753,0.00666979,-0.00663874,0.756092,-0.0581498,0.720848
01324188,1430395860644,-9.50387,1.90484,1.94334,0.198013,0.00126011,-0.0648177,0.785498,-0.226618,0.412533
01324180,1430395860644,-9.62693,2.59768,1.29558,0.884762,0.0185849,-0.191186,0.770619,-0.27307,0.416282
01324189,1430395860659,-9.79802,0.757036,0.265916,0.0451926,0.00928314,0.00578133,0.757167,-0.0576004,0.72164
01324188,1430395860659,-9.46032,1.9188,1.99341,0.159663,0.00271573,-0.0615185,0.78656,-0.224719,0.414772
01324180,1430395860659,-9.607,2.94639,1.21069,0.835707,0.0201799,-0.189645,0.773139,-0.263508,0.421392
01324189,1430395860675,-9.74494,0.7766,0.260294,0.0293412,0.013731,-0.00761734,0.757424,-0.0578857,0.72337
01324188,1430395860675,-9.38768,1.9522,2.00697,0.149246,-0.0029631,-0.0536771,0.786415,-0.222995,0.415014
01324180,1430395860675,-9.54196,3.14004,1.23172,0.726347,0.0216364,-0.194689,0.773728,-0.259235,0.426558
01324189,1430395860690,-9.75562,0.834358,0.21678,0.0136207,0.0138855,-0.0112234,0.757585,-0.058761,0.721226
01324188,1430395860690,-9.31999,1.95205,1.99201,0.129997,0.0248233,-0.0543784,0.785058,-0.220956,0.415157
01324180,1430395860690,-9.42738,3.22251,1.32271,0.63607,0.022773,-0.18207,0.77495,-0.251364,0.429509
01324189,1430395860706,-9.76075,0.834182,0.197385,0.00987463,0.0242569,-0.0281351,0.755666,-0.0578432,0.722589
01324188,1430395860706,-9.36602,1.92781,2.0359,0.0934591,0.010204,-0.0424051,0.786126,-0.219822,0.415214
01324180,1430395860706,-9.26091,3.23844,1.37034,0.581657,0.022235,-0.166627,0.773557,-0.246457,0.430699
01324189,1430395860723,-9.78438,0.824682,0.234229,0.0063909,0.0208487,-0.0299122,0.754576,-0.0552382,0.721422
01324188,1430395860723,-9.46531,1.88431,2.10205,0.0864985,0.0272277,-0.0352,0.786384,-0.218086,0.415052
01324180,1430395860723,-9.15438,3.20513,1.4437,0.54815,0.0341752,-0.157996,0.774495,-0.236415,0.432224
01324189,1430395860739,-9.76455,0.825015,0.265573,0.0132037,0.0242163,-0.0396719,0.756198,-0.0555633,0.722335
01324188,1430395860739,-9.4702,1.86744,2.10465,0.0551917,0.0158934,-0.0196082,0.786104,-0.216402,0.416226
01324180,1430395860739,-9.10675,3.2264,1.54095,0.549638,0.0371938,-0.135114,0.77521,-0.230985,0.436072
01324189,1430395860756,-9.75948,0.805711,0.272752,-0.00786423,0.0347737,-0.0530896,0.755773,-0.0551139,0.723944
01324188,1430395860756,-9.5381,1.8074,2.10572,0.0116082,0.0189212,-0.012801,0.787864,-0.218703,0.418463
01324180,1430395860756,-9.13992,3.28425,1.74153,0.563442,0.0511014,-0.129633,0.778036,-0.225174,0.44204
01324189,1430395860772,-9.72067,0.757278,0.255013,-0.0158343,0.0365562,-0.0637881,0.755897,-0.0533951,0.72409
01324188,1430395860772,-9.49236,1.75427,2.09381,-0.00227265,0.00779196,-0.000618937,0.787068,-0.220225,0.417312
01324180,1430395860772,-9.17533,3.36489,1.83829,0.589539,0.047207,-0.106609,0.776108,-0.21997,0.443243
01324189,1430395860789,-9.75946,0.752234,0.250719,-0.0237782,0.0452688,-0.0709311,0.755359,-0.0536698,0.723693
01324188,1430395860789,-9.4564,1.66759,2.05822,-0.0223023,0.0123839,0.00992357,0.78733,-0.21899,0.415517
01324180,1430395860789,-9.18299,3.56235,1.87555,0.568778,0.0223495,-0.0945564,0.77577,-0.2148,0.445628
01324189,1430395860805,-9.76475,0.761691,0.224047,-0.0273569,0.0418409,-0.0780438,0.753597,-0.0524802,0.722789
01324188,1430395860805,-9.42759,1.60983,2.02724,-0.0292604,0.00695485,0.0133631,0.784768,-0.217639,0.415366
01324180,1430395860805,-9.23313,3.69703,1.86614,0.507497,0.0239035,-0.0948885,0.775413,-0.207902,0.447511
01324189,1430395860822,-9.78844,0.640313,0.207079,-0.0289822,0.0487769,-0.0709487,0.754548,-0.0533641,0.723171
01324188,1430395860822,-9.45663,1.59803,2.00591,-0.065077,0.00918376,0.00251857,0.785302,-0.216854,0.413807
01324180,1430395860822,-9.23943,3.79808,1.8908,0.409475,0.0127238,-0.0797359,0.776678,-0.203043,0.448929
01324189,1430395860838,-9.79803,0.60143,0.197395,-0.0237982,0.0435404,-0.0744732,0.753714,-0.0513299,0.723997
01324188,1430395860838,-9.48569,1.58585,2.03994,-0.0685575,0.00580454,0.000683134,0.786124,-0.219571,0.41603
01324180,1430395860838,-9.23512,3.83675,1.89105,0.288533,0.0137712,-0.0664185,0.778107,-0.200921,0.450692
01324189,1430395860855,-9.82993,0.635103,0.183353,-0.0235936,0.0487452,-0.0584847,0.754226,-0.0501834,0.726535
01324188,1430395860855,-9.50279,1.53772,2.0357,-0.0771933,0.0132643,0.0237159,0.787202,-0.220033,0.416255
01324180,1430395860855,-9.22065,3.82686,1.92981,0.187093,0.0045294,-0.0618557,0.778061,-0.197038,0.450769
01324189,1430395860872,-9.80304,0.606178,0.187746,-0.032447,0.0565847,-0.0691951,0.752342,-0.0508575,0.725218
01324188,1430395860872,-9.51975,1.52807,2.04554,-0.0710494,0.00266961,0.0271793,0.785329,-0.221236,0.414869
01324180,1430395860872,-9.18677,3.83726,1.89636,0.0821687,-0.00643675,-0.0582054,0.777528,-0.197175,0.45131
01324189,1430395860888,-9.81744,0.562429,0.178123,-0.0357444,0.048868,-0.0585272,0.749893,-0.051505,0.726308
01324188,1430395860888,-9.49311,1.53777,2.02359,-0.0668336,0.0229993,0.00442446,0.786136,-0.2212,0.413794
01324180,1430395860888,-9.17628,3.79198,1.85271,-0.0417108,-0.000555844,-0.0237953,0.777259,-0.196882,0.451186
01324189,1430395860905,-9.78358,0.581991,0.182527,-0.0268454,0.0453355,-0.0442823,0.749356,-0.0512078,0.725516
01324188,1430395860905,-9.44707,1.56685,1.97724,-0.0529063,0.0265825,0.00279564,0.785875,-0.222454,0.41292
01324180,1430395860905,-9.17047,3.73704,1.80413,-0.175899,0.00746566,-0.0105363,0.776755,-0.19859,0.449686
01324189,1430395860921,-9.76194,0.567408,0.165127,-0.0286757,0.0522446,-0.0496362,0.750969,-0.0508135,0.726834
01324188,1430395860921,-9.40845,1.54761,1.95065,-0.0598994,0.0334568,0.00371511,0.785612,-0.223533,0.414457
01324180,1430395860921,-9.18337,3.64603,1.72134,-0.307759,0.0203592,0.0229873,0.777302,-0.199749,0.449387
01324189,1430395860938,-9.76905,0.591781,0.187198,-0.0335105,0.0298904,-0.0265097,0.751777,-0.0505453,0.727361
01324188,1430395860938,-9.42289,1.56683,1.96743,-0.0738961,0.0390666,-0.00428737,0.78789,-0.222431,0.414764
01324180,1430395860938,-9.19024,3.46578,1.63812,-0.433966,0.0304472,0.0222169,0.778147,-0.20379,0.449295
01324189,1430395860954,-9.76501,0.630256,0.148285,-0.0389147,0.0489166,-0.0354495,0.750274,-0.0515021,0.728972
01324188,1430395860954,-9.40342,1.60519,1.98859,-0.0808081,0.0315361,0.0062045,0.786422,-0.224122,0.41441
01324180,1430395860954,-9.22605,3.26548,1.59317,-0.52496,0.037424,0.00758274,0.777376,-0.205787,0.44873
01324189,1430395860971,-9.7846,0.620329,0.129085,-0.0466899,0.0386442,-0.0336759,0.749585,-0.0493334,0.72873
01324188,1430395860971,-9.44695,1.60503,2.03465,-0.0913519,0.0300436,-0.015132,0.784552,-0.226144,0.415108
01324180,1430395860971,-9.2717,3.06718,1.57713,-0.573767,0.0286595,-0.0016174,0.776398,-0.212084,0.446476
01324189,1430395860987,-9.80362,0.642326,0.163501,-0.051022,0.0335195,-0.033677,0.748785,-0.0504638,0.727929
01324188,1430395860987,-9.4758,1.64847,2.04411,-0.106176,0.032537,-0.0134418,0.784556,-0.226502,0.413485
01324180,1430395860987,-9.27941,2.9273,1.55695,-0.589837,0.0406239,0.01064,0.77673,-0.217115,0.445032
01324189,1430395861004,-9.80469,0.678202,0.105186,-0.0544645,0.0421863,-0.0283751,0.748526,-0.0528944,0.72818
01324188,1430395861004,-9.48045,1.69711,1.98595,-0.0965046,0.0314392,0.00785171,0.78402,-0.226956,0.414131
01324180,1430395861004,-9.32614,2.81605,1.52447,-0.575776,0.0408214,0.00368031,0.775994,-0.220965,0.441752
01324189,1430395861021,-9.82445,0.639007,0.0615794,-0.0668493,0.0371124,-0.0443956,0.747987,-0.0531684,0.727917
01324188,1430395861021,-9.46608,1.65413,1.91884,-0.10872,0.0448388,0.0167701,0.784692,-0.226811,0.413865
01324180,1430395861021,-9.3591,2.763,1.48277,-0.560091,0.0407838,0.00904846,0.775235,-0.224114,0.441432
01324189,1430395861037,-9.82351,0.522828,0.075893,-0.0674623,0.0285097,-0.0301649,0.750684,-0.0532304,0.729754
01324188,1430395861037,-9.47578,1.64448,1.92382,-0.106187,0.0492568,-0.000865982,0.785776,-0.228337,0.415224
01324180,1430395861037,-9.37239,2.66614,1.49661,-0.505924,0.0407884,0.0181616,0.776092,-0.228434,0.439726
01324189,1430395861054,-9.81723,0.484743,0.158463,-0.0779659,0.0286186,-0.0373075,0.749175,-0.0514666,0.730318
01324188,1430395861054,-9.5048,1.64435,1.95774,-0.101774,0.0470727,0.00798571,0.7847,-0.228325,0.415372
01324180,1430395861054,-9.41108,2.67565,1.46729,-0.448329,0.0415995,0.0326089,0.775339,-0.231284,0.437538
01324189,1430395861070,-9.81746,0.516221,0.156108,-0.0649568,0.0371146,-0.0372801,0.747976,-0.0545929,0.729907
01324188,1430395861070,-9.50975,1.61515,1.99895,-0.110571,0.056585,-0.00790107,0.782565,-0.230882,0.41524
01324180,1430395861070,-9.42028,2.65423,1.42841,-0.406744,0.0481706,0.0628056,0.774063,-0.234989,0.435607
01324189,1430395861087,-9.73503,0.528772,0.167063,-0.0630885,0.030183,-0.0292807,0.74714,-0.0518427,0.730472
01324188,1430395861087,-9.49049,1.59792,2.03987,-0.133121,0.0466739,0.0139646,0.782292,-0.229939,0.413701
01324180,1430395861087,-9.3327,2.62407,1.40977,-0.352771,0.0469167,0.0912437,0.773536,-0.234828,0.434279
01324189,1430395861103,-9.78417,0.652175,0.172966,-0.0597688,0.0353281,-0.0372672,0.74688,-0.0538442,0.730459
01324188,1430395861103,-9.45659,1.61448,2.06833,-0.12267,0.0486582,0.00963685,0.782299,-0.231116,0.414161
01324180,1430395861103,-9.26025,2.64458,1.37675,-0.338594,0.0329142,0.0929823,0.772009,-0.23997,0.432725
01324189,1430395861120,-9.80515,0.716851,0.0906809,-0.0736797,0.0441024,-0.0337744,0.748767,-0.0515987,0.730456
01324188,1430395861120,-9.43491,1.59045,2.04431,-0.129611,0.0286021,0.0102586,0.781771,-0.232885,0.415125
01324180,1430395861120,-9.2642,2.58686,1.35223,-0.323026,0.0452434,0.0931538,0.773104,-0.241992,0.431062
01324189,1430395861137,-9.82538,0.881621,0.103548,-0.0807006,0.0562651,-0.0338186,0.747683,-0.0541451,0.731915
01324188,1430395861137,-9.50013,1.60526,2.03025,-0.137475,0.035512,0.0111557,0.783394,-0.23434,0.414748
01324180,1430395861137,-9.26818,2.51913,1.36149,-0.333621,0.0450226,0.101861,0.771335,-0.249728,0.431068
01324189,1430395861153,-9.81138,0.613945,-0.0506412,-0.108465,0.0392648,-0.0356584,0.747414,-0.0535675,0.731256
01324188,1430395861153,-9.55354,1.53824,1.98796,-0.120049,0.0517923,0.0167585,0.781779,-0.234025,0.414788
01324180,1430395861153,-9.28206,2.46317,1.38763,-0.337193,0.0502575,0.101864,0.772445,-0.253775,0.431239
01324189,1430395861170,-9.88119,0.476631,0.08639,-0.101257,0.0340648,-0.0231692,0.745659,-0.0545273,0.730868
01324188,1430395861170,-9.56791,1.56783,1.90117,-0.0929512,0.0474446,0.0345949,0.782467,-0.236397,0.412765
01324180,1430395861170,-9.39753,2.40105,1.42724,-0.360085,0.0642987,0.0965536,0.769063,-0.259605,0.430101
01324189,1430395861186,-9.82269,0.382265,0.0706785,-0.0914928,0.032239,-0.010705,0.745386,-0.0553776,0.731532
01324188,1430395861186,-9.53923,1.46719,1.79598,-0.0781736,0.0681251,0.0384722,0.780854,-0.236309,0.411456
01324180,1430395861186,-9.46408,2.28854,1.49364,-0.389244,0.0409844,0.0724561,0.769371,-0.26277,0.42923
01324189,1430395861203,-9.87385,0.315138,0.188123,-0.0680346,0.0216589,-0.015925,0.745666,-0.0583923,0.732572
01324188,1430395861203,-9.55908,1.32275,1.77338,-0.0843083,0.0684376,0.0322403,0.780867,-0.238337,0.411597
01324180,1430395861203,-9.50601,2.14991,1.54564,-0.410104,0.0582625,0.0363755,0.76862,-0.2662,0.427967
01324189,1430395861219,-9.90832,0.217663,0.441547,-0.00348401,0.0106871,-0.00679231,0.746227,-0.0579871,0.730434
01324188,1430395861219,-9.66121,1.15879,1.8286,-0.0878011,0.0585456,0.0223616,0.779262,-0.23985,0.413658
01324180,1430395861219,-9.56274,2.03286,1.59519,-0.390407,0.042942,0.0161562,0.76746,-0.267886,0.424602
01324189,1430395861236,-9.96683,0.044585,0.339791,0.0418348,0.0274942,0.00311311,0.746335,-0.0571182,0.732708
01324188,1430395861236,-9.80674,1.03971,2.04258,-0.0528238,0.0481531,0.0242356,0.781153,-0.241365,0.414474
01324180,1430395861236,-9.58646,1.98388,1.63578,-0.336143,0.0539176,0.00250322,0.7687,-0.271356,0.423979
01324189,1430395861253,-9.86598,0.433075,-0.220626,0.0225501,0.0621311,0.0127246,0.74564,-0.0565196,0.734054
01324188,1430395861253,-9.90348,1.04581,2.25746,-0.0351614,-0.0114133,0.034305,0.780071,-0.240582,0.41667
