ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430395698394,-9.49491,-0.432346,2.01136,-0.313686,0.71154,-0.896733,0.837725,0.203353,-0.264253
01324188,1430395698394,-7.95495,0.675414,0.583245,-0.0631074,0.878175,0.321529,0.748043,0.181465,-0.404701
01324180,1430395698394,-8.99843,4.81192,4.63648,0.637662,-0.445469,-0.345857,0.753334,0.00504571,-0.469123
01324189,1430395698397,-9.63517,0.248202,2.66013,-0.152874,0.624004,-0.663229,0.836721,0.21957,-0.255129
01324188,1430395698397,-8.03588,-0.302713,0.862277,0.166665,1.07596,0.27484,0.754633,0.183469,-0.394217
01324180,1430395698397,-8.84946,4.53886,4.60018,0.609404,-0.461333,-0.304049,0.745973,0.011309,-0.48046
01324189,1430395698413,-9.74916,0.195944,3.46498,0.126728,0.531921,-0.344022,0.836875,0.225949,-0.246768
01324188,1430395698413,-8.43006,-0.977357,1.35277,0.550146,0.963203,0.125724,0.761403,0.178534,-0.384166
01324180,1430395698413,-8.85359,4.5255,4.4889,0.555033,-0.525583,-0.211656,0.744412,0.0102148,-0.486109
01324189,1430395698429,-10.4333,1.44774,4.94605,0.486474,0.344299,-0.0136031,0.838698,0.225801,-0.237807
01324188,1430395698429,-8.67377,-1.4997,1.70595,0.844432,0.812539,-0.0845806,0.769413,0.169119,-0.371732
01324180,1430395698429,-8.94731,4.35716,4.32272,0.450265,-0.553114,-0.122859,0.740055,0.00302618,-0.478655
01324189,1430395698445,-11.586,2.99249,6.64908,0.661835,0.087066,0.298648,0.841476,0.221103,-0.240021
01324188,1430395698445,-9.24892,-1.42653,1.89025,0.892808,0.678725,-0.261047,0.772929,0.167065,-0.366281
01324180,1430395698445,-8.96787,4.17611,4.07018,0.425113,-0.580344,-0.0335759,0.735319,0.000852569,-0.487643
01324189,1430395698461,-13.4877,4.60848,9.18389,0.718116,-0.265262,0.644593,0.842113,0.212417,-0.24412
01324188,1430395698461,-10.0595,-0.916835,2.52968,0.679508,0.635137,-0.427747,0.774681,0.166767,-0.360565
01324180,1430395698461,-8.86339,4.09438,3.69373,0.407261,-0.584253,0.0761336,0.729784,-0.00218464,-0.494753
01324189,1430395698477,-13.5961,3.57343,8.26784,0.453473,-0.555676,0.928572,0.837407,0.199216,-0.257042
01324188,1430395698477,-10.9915,0.151827,3.29252,0.613907,0.564811,-0.540667,0.773025,0.172273,-0.356855
01324180,1430395698477,-8.77415,3.90685,3.26097,0.385526,-0.606988,0.162806,0.725098,-0.0051767,-0.511965
01324189,1430395698493,-10.2972,-4.42534,-0.612408,-0.560355,-0.350842,0.556314,0.843199,0.190696,-0.258249
