ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430220706884,-9.7538,0.159374,-1.01261,-0.00489797,-0.0017898,0.00169489,0.708732,0.17544,0.468275
01324188,1430220706884,-9.64441,-0.251217,-1.87926,0.00812441,0.00885048,-0.000552037,0.695891,-0.280199,0.441934
01324180,1430220706884,-9.30667,1.95509,2.51482,0.000396619,0.00463727,0.0219177,0.717476,-0.491694,0.052865
01324189,1430220706918,-9.76826,0.1472,-1.01242,-0.00754129,-0.00694268,-0.00185523,0.708433,0.184323,0.465682
01324188,1430220706918,-9.64919,-0.23231,-1.82164,0.0151103,0.000461425,-0.00590871,0.696001,-0.276578,0.444688
01324180,1430220706918,-9.3197,2.00753,2.56331,0.0286385,-0.0146614,0.0272518,0.716395,-0.489356,0.0505124
01324189,1430220706934,-9.7831,0.15183,-1.03166,-0.00312641,0.0102865,0.00612599,0.708426,0.184327,0.466482
01324188,1430220706934,-9.66103,-0.166882,-1.86305,0.00116491,0.000156637,-0.000700476,0.694393,-0.276498,0.44045
01324180,1430220706934,-9.24799,2.08105,2.53783,0.0167157,-0.0221617,0.00602649,0.715318,-0.488329,0.0505485
01324189,1430220706950,-9.76854,0.159198,-1.027,0.00712361,-0.000200539,-0.0080381,0.706285,0.178794,0.466863
01324188,1430220706950,-9.65392,-0.203342,-1.82428,-0.0267898,0.00755815,-0.0105441,0.69346,-0.277682,0.441454
01324180,1430220706950,-9.22364,2.0867,2.48735,0.00765593,-0.000232947,0.0043605,0.715597,-0.491095,0.0545142
01324189,1430220706965,-9.77353,0.205289,-1.01707,-0.00514343,-7.96386e-05,-0.0142981,0.706297,0.177073,0.466716
01324188,1430220706965,-9.60077,-0.208774,-1.76448,-0.0371814,0.0119393,0.00448575,0.693197,-0.278529,0.441139
01324180,1430220706965,-9.23288,2.05275,2.49191,-0.0259135,0.0188569,0.00779221,0.714381,-0.489342,0.0540302
01324189,1430220706980,-9.75838,0.157067,-0.995512,-0.0189667,0.00438665,-0.00902402,0.707919,0.179463,0.465783
01324188,1430220706980,-9.6249,-0.198742,-1.8077,0.00292553,0.00865106,0.00295057,0.694534,-0.277893,0.442493
01324180,1430220706980,-9.26206,2.05205,2.52545,-0.0343525,0.00679537,-0.00464733,0.717059,-0.490539,0.053699
01324189,1430220706996,-9.76582,0.15694,-1.00757,-0.0242634,0.000117275,-0.0152517,0.707107,0.178769,0.466053
01324188,1430220706996,-9.65659,-0.275518,-1.84526,0.0185946,0.00810193,-0.00226027,0.695476,-0.277948,0.440214
01324180,1430220706996,-9.30071,2.0517,2.5154,-0.0238823,0.0121856,-0.00893046,0.716669,-0.489497,0.049164
01324189,1430220707011,-9.7586,0.152086,-1.01256,-0.0120253,-0.00259532,-0.0107648,0.708181,0.180175,0.466319
01324188,1430220707011,-9.64452,-0.280417,-1.8405,0.0273622,-0.00684141,0.00117769,0.695347,-0.278839,0.440826
01324180,1430220707011,-9.29291,2.01821,2.49596,-0.0142166,0.012311,-0.0132742,0.718683,-0.491704,0.0509689
01324189,1430220707026,-9.77783,0.186119,-0.987848,-0.00773407,0.0085863,-0.0125445,0.707635,0.180191,0.466592
01324188,1430220707026,-9.60577,-0.261068,-1.86985,0.0203038,0.010975,-0.00751971,0.694807,-0.278605,0.44218
01324180,1430220707026,-9.32911,1.99807,2.53417,-0.0168446,0.0104679,-0.009784,0.717503,-0.491661,0.0472305
01324189,1430220707041,-9.75812,0.142628,-0.983381,-0.0154697,-0.00168999,-0.00900067,0.705466,0.180105,0.466616
01324188,1430220707041,-9.61547,-0.270778,-1.85525,0.00290896,0.00361585,-0.000640551,0.693469,-0.279053,0.439904
01324180,1430220707041,-9.31467,1.99311,2.56328,0.000631341,0.00504837,0.00083378,0.716427,-0.491071,0.0480629
01324189,1430220707057,-9.75316,0.1184,-0.985947,-0.00483471,-5.54649e-05,0.00524643,0.705484,0.178809,0.465539
01324188,1430220707057,-9.62998,-0.275247,-1.89841,0.00287175,0.0107102,-0.00321944,0.694001,-0.278192,0.439817
01324180,1430220707057,-9.30514,2.01278,2.53931,0.00926594,0.0102752,0.00444432,0.714297,-0.490887,0.0476951
01324189,1430220707073,-9.7581,0.128052,-0.988284,-0.0153091,0.00695672,0.00342214,0.707378,0.181477,0.464338
01324188,1430220707073,-9.59156,-0.282375,-1.966,-0.00782458,0.018127,-0.0111503,0.692413,-0.278896,0.441659
01324180,1430220707073,-9.26164,2.02068,2.52528,0.0181558,0.0069781,-0.0043218,0.714284,-0.490757,0.0499786
01324189,1430220707090,-9.75829,0.147396,-0.993103,-0.0118798,0.013823,0.00164366,0.708322,0.181598,0.464862
01324188,1430220707090,-9.60618,-0.30489,-1.84055,0.00785904,0.0289701,-0.0180076,0.694819,-0.277197,0.441468
01324180,1430220707090,-9.23284,2.03293,2.54013,0.0172826,0.00516275,-0.00170607,0.716152,-0.491954,0.0520741
01324189,1430220707107,-9.75835,0.123051,-1.00776,-0.0169648,0.0138865,0.0105111,0.709654,0.183004,0.466458
01324188,1430220707107,-9.60604,-0.266278,-1.84571,0.00267546,0.0257934,-0.00745869,0.696173,-0.278995,0.442406
01324180,1430220707107,-9.26938,2.05182,2.53988,0.00945314,0.00522793,-0.00613798,0.71813,-0.49172,0.0552698
01324189,1430220707123,-9.78296,0.168926,-1.01459,-0.00403112,0.00338798,0.00258203,0.707901,0.181616,0.466333
01324188,1430220707123,-9.6301,-0.232602,-1.82176,0.0131285,0.0133068,-0.0172647,0.695092,-0.278157,0.443404
01324180,1430220707123,-9.27212,2.07592,2.53998,0.00596734,0.00164136,-0.00266202,0.71691,-0.489972,0.0555907
01324189,1430220707140,-9.75582,0.174173,-0.978472,0.0039419,0.00159114,0.0123803,0.706698,0.180495,0.465138
01324188,1430220707140,-9.67358,-0.227455,-1.84554,-0.000763658,0.0107592,-0.00234842,0.694678,-0.27605,0.441674
01324180,1430220707140,-9.2963,2.07567,2.53733,-3.35621e-05,6.41177e-05,-0.0123762,0.715597,-0.491387,0.0551792
01324189,1430220707157,-9.75848,0.171604,-0.995476,-0.0135463,0.00176097,0.00521406,0.703991,0.181707,0.463846
01324188,1430220707157,-9.65201,-0.27599,-1.81157,0.00621616,0.00747711,-0.00587256,0.691862,-0.27648,0.43955
