ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430220800101,-9.68814,0.0656444,-1.51975,-0.00876697,0.006846,-0.00711527,0.536169,0.0236078,0.326761
01324188,1430220800101,-9.58259,0.258074,-2.05758,-0.00105662,0.0157322,-0.0128957,0.675266,-0.353479,0.306777
01324180,1430220800101,-9.29723,2.01845,1.94583,0.0158375,-0.00172694,0.0313474,0.651364,-0.437826,0.0579099
01324189,1430220800104,-9.69798,0.0898326,-1.51955,-0.00674363,0.001676,0.0124486,0.532947,0.0292505,0.319774
01324188,1430220800104,-9.60417,0.313209,-2.00015,0.00071704,0.0198127,-0.00753446,0.673754,-0.347064,0.299729
01324180,1430220800104,-9.35254,1.98368,1.97652,0.010566,0.00539943,0.0243346,0.646104,-0.43035,0.0527642
01324189,1430220800120,-9.7029,0.0897737,-1.52434,-0.0104444,0.0103263,-0.00179422,0.530641,0.0300256,0.319273
01324188,1430220800120,-9.60407,0.337471,-2.02203,0.00593665,0.0232999,-0.00746092,0.67025,-0.344979,0.299635
01324180,1430220800120,-9.37864,1.94971,1.964,0.00876536,0.0125143,0.0190957,0.644371,-0.430174,0.0525245
01324189,1430220800136,-9.70541,0.0702645,-1.53895,0.00346495,0.0153607,-0.000868025,0.529972,0.0253211,0.321244
01324188,1430220800136,-9.6281,0.380759,-1.99336,-0.00621307,0.0107467,-0.000606938,0.670263,-0.347362,0.30122
01324180,1430220800136,-9.422,1.93965,1.95385,0.0142135,0.00842199,0.00592161,0.645571,-0.431803,0.0562344
01324189,1430220800152,-9.68831,0.0801425,-1.52458,0.00348478,0.00154679,-0.00173385,0.531831,0.026865,0.324435
01324188,1430220800152,-9.60392,0.380738,-2.00318,0.0076481,0.0203443,-0.0172187,0.671209,-0.348434,0.302208
01324180,1430220800152,-9.44923,1.97272,1.99243,0.0415714,-0.00458312,0.00338032,0.647317,-0.433573,0.0577851
01324189,1430220800168,-9.69814,0.0702945,-1.53906,0.00521921,0.0084356,-0.000850627,0.534798,0.0272248,0.326005
01324188,1430220800168,-9.6039,0.387988,-2.00565,-0.0010347,0.02155,-0.00752962,0.673766,-0.349365,0.302652
01324180,1430220800168,-9.46147,1.98221,1.99478,0.0458115,0.00237381,0.00697753,0.64893,-0.435046,0.0584036
01324189,1430220800183,-9.69558,0.0922654,-1.51958,-0.0171902,0.00868899,0.0124,0.535643,0.0269015,0.323059
01324188,1430220800183,-9.58942,0.380602,-1.99125,-0.00803271,0.018428,-0.0146898,0.67484,-0.349263,0.303178
01324180,1430220800183,-9.491,2.01055,2.02124,0.0455306,0.0180213,0.013253,0.648145,-0.435161,0.0557271
01324189,1430220800199,-9.70307,0.0945416,-1.53406,8.78597e-05,0.0084994,0.00535191,0.533478,0.0266691,0.322548
01324188,1430220800199,-9.59913,0.371026,-1.99591,0.00241924,0.0254046,-0.0145428,0.671877,-0.347858,0.301969
01324180,1430220800199,-9.40845,1.9824,2.03639,0.0543318,0.0127266,0.0158835,0.647317,-0.432402,0.0548542
01324189,1430220800215,-9.71245,0.0800812,-1.51935,0.00261661,0.00156231,-0.00173207,0.532008,0.0254102,0.321088
01324188,1430220800215,-9.62325,0.38548,-1.98141,0.00247976,0.0196404,-0.00398959,0.671334,-0.347091,0.304289
01324180,1430220800215,-9.33295,1.96955,1.96455,0.0559618,0.0197595,0.015923,0.646098,-0.432404,0.0589004
01324189,1430220800231,-9.68358,0.109275,-1.51972,-0.0102455,-0.00606326,0.00978296,0.531476,0.023989,0.320816
01324188,1430220800231,-9.604,0.361332,-1.98615,-0.0115138,0.0234513,-0.01112,0.670665,-0.347293,0.302686
01324180,1430220800231,-9.44841,1.9149,1.98246,0.0469059,0.022741,0.0405151,0.645291,-0.431814,0.0590582
01324189,1430220800247,-9.67869,0.0801436,-1.5296,0.00698427,-0.00885023,-0.00170465,0.531704,0.0245767,0.324952
01324188,1430220800247,-9.59194,0.354021,-1.98137,0.00770945,0.0222463,-0.00391952,0.672139,-0.347141,0.305076
01324180,1430220800247,-9.43175,1.91449,2.04062,0.0400277,0.0283071,0.0229238,0.647446,-0.43358,0.0585888
01324189,1430220800263,-9.68822,0.0947766,-1.51238,-0.00366731,0.0102365,-0.0142123,0.533338,0.0259604,0.323478
01324188,1430220800263,-9.60406,0.344554,-2.00044,-0.00625832,0.0180612,-0.00760236,0.673759,-0.348195,0.302325
01324180,1430220800263,-9.38416,1.96799,2.05588,0.0102883,0.0354197,0.0122383,0.646926,-0.434432,0.0580422
01324189,1430220800280,-9.70288,0.0751979,-1.52924,-0.0156322,0.00520195,-0.000913492,0.535902,0.0270439,0.324257
01324188,1430220800280,-9.60406,0.34221,-2.01004,0.00600582,0.00893131,0.00123185,0.674565,-0.348252,0.303244
01324180,1430220800280,-9.35488,1.93162,2.1043,0.00715768,0.0207702,-0.00196602,0.648805,-0.435911,0.0587911
01324189,1430220800296,-9.6684,0.051343,-1.50061,-0.00780165,0.0016626,-0.00177501,0.534433,0.0254982,0.322795
01324188,1430220800296,-9.58481,0.315834,-2.04124,-0.00102246,0.0153629,-0.0058217,0.674293,-0.347896,0.305002
01324180,1430220800296,-9.36972,1.93318,2.16942,0.00372585,0.021738,-0.0081313,0.647614,-0.437196,0.0601257
01324189,1430220800313,-9.68849,0.0873332,-1.5343,-0.0122953,0.00342303,-0.0106749,0.533896,0.0249375,0.32253
01324188,1430220800313,-9.58955,0.337802,-2.0775,-0.00457825,0.00837678,-0.0218542,0.671333,-0.346934,0.304032
01324180,1430220800313,-9.36938,1.91405,2.1524,0.0176078,0.0278733,-0.00536787,0.647586,-0.434891,0.0604406
01324189,1430220800330,-9.67878,0.0606444,-1.54425,-0.0120525,0.0103472,0.00708029,0.530366,0.0263177,0.321914
01324188,1430220800330,-9.58463,0.366418,-2.03448,0.00248767,0.00832854,-0.00410653,0.670263,-0.347661,0.304534
01324180,1430220800330,-9.39309,1.90241,2.08443,0.0386355,0.0217477,-0.000879553,0.645448,-0.433982,0.0594156
01324189,1430220800346,-9.6981,0.0970622,-1.5244,-0.00696162,0.00683638,-0.00177705,0.532005,0.0265555,0.320697
01324188,1430220800346,-9.59438,0.342358,-2.03659,0.00243212,0.0132353,-0.0146741,0.670802,-0.347877,0.302781
01324180,1430220800346,-9.41241,1.89977,2.08423,0.0483052,0.0128605,0.00703532,0.645719,-0.435152,0.0614026
01324189,1430220800363,-9.7126,0.0702733,-1.53398,0.000176625,-0.00530437,0.00893388,0.533073,0.0258214,0.322946
01324188,1430220800363,-9.59439,0.342258,-2.02215,0.00945899,0.0178109,-0.00218557,0.672143,-0.347474,0.302923
01324180,1430220800363,-9.45691,1.96174,2.11072,0.0598777,0.000648546,0.00616906,0.647607,-0.436912,0.0609371
01324189,1430220800379,-9.68856,0.109177,-1.52938,-0.00356128,0.00506425,-0.0070951,0.536586,0.0250216,0.3249
01324188,1430220800379,-9.62342,0.337424,-2.00504,-0.00449947,0.0178843,-0.00405475,0.674565,-0.348513,0.30576
01324180,1430220800379,-9.48121,1.97611,2.09364,0.0669098,-0.0010532,0.00533149,0.649334,-0.437827,0.0642508
01324189,1430220800396,-9.70768,0.0800624,-1.52429,-0.0122311,0.010341,-0.00535299,0.533896,0.0240797,0.323056
01324188,1430220800396,-9.63079,0.303728,-2.00949,0.00942637,0.0250532,-0.00742093,0.673621,-0.347698,0.30409
01324180,1430220800396,-9.43288,1.98653,2.07484,0.0776544,-0.000537376,-0.0183421,0.649315,-0.436096,0.064017
01324189,1430220800412,-9.71462,0.0850723,-1.49984,-0.0104379,0.0103324,-0.00179155,0.53214,0.0248364,0.321749
01324188,1430220800412,-9.62349,0.31579,-2.01447,0.00944189,0.0180532,-0.00661184,0.670659,-0.346691,0.305255
01324180,1430220800412,-9.385,2.03572,2.04174,0.065163,0.00978719,-0.010435,0.646367,-0.434892,0.0643526
01324189,1430220800429,-9.70256,0.0705077,-1.50979,-0.0104124,-2.97372e-05,-0.00177441,0.528504,0.0246325,0.319122
01324188,1430220800429,-9.5992,0.347214,-2.039,0.0120669,0.00767103,-0.00758988,0.669182,-0.346411,0.302892
01324180,1430220800429,-9.3807,2.07434,2.04683,0.0388699,0.0060134,-0.00182778,0.644476,-0.432258,0.0633584
01324189,1430220800446,-9.6832,0.0608576,-1.51497,0.00160119,0.00155148,-0.0124022,0.533211,0.0253876,0.322941
01324188,1430220800446,-9.58466,0.361295,-1.99112,0.000782149,0.0105595,0.00298609,0.671197,-0.346613,0.303388
01324180,1430220800446,-9.37576,2.05722,2.07337,0.0246273,0.027093,-0.0070504,0.644786,-0.435427,0.0619479
01324189,1430220800462,-9.67875,0.0898349,-1.52957,-0.00355628,0.00506191,-0.00709672,0.535229,0.025629,0.32452
01324188,1430220800462,-9.57992,0.332544,-2.01977,0.00247182,0.0153705,-0.00579784,0.673492,-0.348796,0.306023
01324180,1430220800462,-9.39035,2.06185,2.07567,0.00723866,0.016445,-0.00371398,0.648124,-0.436648,0.0634862
01324189,1430220800479,-9.70273,0.0752756,-1.51951,-0.000842155,-0.000129144,-0.000853871,0.535771,0.0273309,0.323594
01324188,1430220800479,-9.6018,0.294245,-2.04813,0.00246196,0.0128616,-0.00759717,0.675635,-0.34798,0.306313
01324180,1430220800479,-9.38531,2.03999,2.09493,0.00571579,0.00605515,-0.0108361,0.649714,-0.435811,0.0634797
01324189,1430220800495,-9.68813,0.0851047,-1.50997,0.00349864,-0.00363027,-0.00172403,0.534699,0.0263515,0.322798
01324188,1430220800495,-9.59217,0.284565,-2.04812,0.00770348,0.0127759,-0.00579044,0.672406,-0.346895,0.305887
01324180,1430220800495,-9.37542,2.02567,2.09012,0.0160335,0.0201493,-0.0124361,0.64836,-0.434935,0.0656655
01324189,1430220800512,-9.6879,0.0657804,-1.50272,-0.0111684,0.00171316,0.00621319,0.5312,0.0254283,0.320431
01324188,1430220800512,-9.59452,0.303796,-2.03865,0.0164938,0.0103122,0.00840207,0.669046,-0.346364,0.305029
01324180,1430220800512,-9.36302,2.01158,2.06599,0.0275124,0.00599645,-0.00367748,0.647403,-0.432316,0.0643888
01324189,1430220800529,-9.68796,0.0706066,-1.50514,-0.00866501,-0.00350331,-0.00176482,0.529977,0.0248895,0.320974
01324188,1430220800529,-9.59942,0.284591,-2.04806,0.00856667,0.0154336,-0.00664149,0.670251,-0.34574,0.303587
01324180,1430220800529,-9.36608,2.0648,2.05175,0.0423047,0.00409293,0.00696628,0.645664,-0.431707,0.0641577
01324189,1430220800545,-9.68809,0.051088,-1.52222,0.000131137,0.00677341,0.00713001,0.532148,0.0248323,0.320949
01324188,1430220800545,-9.59947,0.270091,-2.04312,0.00424221,0.00737014,-0.00233402,0.672275,-0.3472,0.303205
01324180,1430220800545,-9.41003,2.09321,2.05631,0.0302887,0.000901568,-0.0106981,0.647159,-0.434185,0.0642208
01324189,1430220800562,-9.68286,0.0853579,-1.48084,0.00193253,0.00158512,0.0106987,0.53457,0.0247789,0.323054
01324188,1430220800562,-9.58242,0.306197,-2.04358,0.0164709,0.00546801,0.00127028,0.671871,-0.347293,0.305336
01324180,1430220800562,-9.45395,2.11668,2.07051,0.0283152,0.00766048,0.00166045,0.649571,-0.435673,0.0649617
01324189,1430220800578,-9.6883,0.0898726,-1.51969,-0.00345657,0.00680083,9.93526e-06,0.534561,0.0252125,0.323724
01324188,1430220800578,-9.59439,0.342241,-2.01975,0.00247628,0.0127692,-0.00582884,0.672541,-0.347066,0.306408
01324180,1430220800578,-9.45389,2.12428,2.03672,0.0207195,-0.0152124,0.00497065,0.649957,-0.434966,0.0660444
01324189,1430220800595,-9.70766,0.0995227,-1.51451,0.000104338,0.0136843,0.00712029,0.534421,0.0259332,0.323732
01324188,1430220800595,-9.60161,0.351912,-2.01978,-0.0166776,0.0106192,0.00109545,0.672683,-0.348569,0.307646
01324180,1430220800595,-9.4343,2.10019,2.0537,0.0307415,0.0199064,0.00351141,0.649951,-0.434535,0.0663217
01324189,1430220800612,-9.6882,0.0753357,-1.51973,-0.0088123,0.00338886,-0.0106629,0.533911,0.0253581,0.320666
01324188,1430220800612,-9.60405,0.346965,-2.00046,-0.0263227,0.007871,-0.0131617,0.671744,-0.348491,0.30633
01324180,1430220800612,-9.45872,2.13172,2.01255,0.021073,0.00902072,0.0209702,0.646984,-0.431893,0.0672233
01324189,1430220800628,-9.68806,0.0972966,-1.50021,-0.0208635,0.018205,-6.95319e-05,0.530239,0.025316,0.321641
01324188,1430220800628,-9.60406,0.342143,-2.00042,-0.00795906,0.00735032,-0.00242129,0.670928,-0.346465,0.3034
01324180,1430220800628,-9.38044,2.06001,2.03225,0.0244673,0.0178138,0.0192597,0.646062,-0.432448,0.06642
