ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430220512638,-9.33877,-3.69351,-1.51423,-0.465263,-0.126173,-0.369075,0.83197,-0.0502858,-0.16052
01324188,1430220512638,-8.5438,-1.41829,-2.06951,-0.211211,-0.0540083,0.249004,0.796444,0.118504,0.0176187
01324180,1430220512638,-8.27443,0.516131,1.74526,0.348035,-0.249212,0.20913,0.882011,-0.120511,-0.23112
01324189,1430220512642,-8.68785,-0.784125,-1.62424,-0.548833,-0.094347,-0.319824,0.828697,-0.0372874,-0.167872
01324188,1430220512642,-8.05941,-1.24647,-3.11444,0.127319,0.0377915,0.186032,0.795086,0.121213,0.0127301
01324180,1430220512642,-7.80651,1.44683,1.45042,0.330396,-0.179121,0.126116,0.87998,-0.116122,-0.235303
01324189,1430220512658,-7.7844,-0.398798,-1.79274,-0.428076,-0.0301353,-0.243313,0.827835,-0.0315045,-0.166746
01324188,1430220512658,-7.98269,-1.44053,-3.33226,0.381455,0.144332,0.122583,0.795914,0.117641,0.0146344
01324180,1430220512658,-7.58374,2.27869,1.09949,0.259211,-0.161806,0.0441818,0.880834,-0.120022,-0.237006
01324189,1430220512675,-7.52424,1.94974,-1.53308,-0.197773,0.0271432,-0.13611,0.82928,-0.0307992,-0.161806
01324188,1430220512675,-7.40496,-1.4077,-2.81005,0.398377,0.226914,0.00508863,0.796739,0.114233,0.0192193
01324180,1430220512675,-7.52985,2.91357,0.697487,0.0969379,-0.105262,-0.0864167,0.879775,-0.125849,-0.224475
01324189,1430220512691,-7.12033,4.0894,-0.803872,0.0455778,0.0688482,0.0191242,0.830661,-0.0319932,-0.163169
01324188,1430220512691,-7.40438,-1.21287,-2.39551,0.323889,0.225429,-0.101653,0.798624,0.113839,0.0207736
01324180,1430220512691,-7.66715,3.67474,0.468319,-0.116531,-0.0462682,-0.175049,0.881621,-0.124004,-0.224734
01324189,1430220512707,-7.99383,3.98672,-0.450161,0.279741,0.113579,0.227897,0.832581,-0.0350627,-0.16268
01324188,1430220512707,-7.69468,-0.475036,-0.857396,0.193182,0.136912,-0.206272,0.797776,0.120082,0.0235747
01324180,1430220512707,-7.84898,3.43339,0.721394,-0.243694,-0.031199,-0.166975,0.882636,-0.119549,-0.224929
01324189,1430220512723,-12.9996,-5.21875,0.601494,0.589059,0.127031,0.0452016,0.82961,-0.036861,-0.163999
01324188,1430220512723,-9.81931,0.392796,0.638493,0.161553,-0.113675,-0.254745,0.792345,0.128492,0.0188232
01324180,1430220512723,-8.12023,2.99266,1.01117,-0.302488,-0.00489648,-0.183035,0.881776,-0.110679,-0.234146
01324189,1430220512739,-12.6889,1.62109,-1.70903,0.216055,0.299648,0.038121,0.832284,-0.0374811,-0.158682
01324188,1430220512739,-12.7267,1.15933,-0.924425,0.192799,-0.216993,-0.221587,0.791669,0.129167,0.0170043
01324180,1430220512739,-9.16454,3.24427,1.16911,-0.219956,0.0121728,-0.141657,0.880131,-0.107778,-0.231914
01324189,1430220512755,-10.4299,-0.5239,-0.871971,-0.00595788,0.280791,0.0156943,0.83319,-0.0389157,-0.15295
01324188,1430220512755,-14.2087,0.224021,-3.64293,0.181309,0.077049,-0.153098,0.791396,0.129667,0.0187744
01324180,1430220512755,-10.7293,3.38982,1.19089,-0.118912,-0.00630015,-0.0686701,0.878951,-0.110659,-0.229132
01324189,1430220512770,-10.0981,-1.297,-1.38023,0.164859,0.215107,0.0927346,0.835346,-0.0412563,-0.149247
01324188,1430220512770,-11.1047,0.21049,-4.0328,0.407881,0.208834,-0.122194,0.790862,0.128687,0.0213905
01324180,1430220512770,-11.749,2.66088,0.964252,0.085633,-0.0824189,-0.0326945,0.87816,-0.111513,-0.228735
01324189,1430220512786,-9.59132,-0.482082,-2.15998,0.199159,0.151572,0.137272,0.835477,-0.0429784,-0.147657
01324188,1430220512786,-8.963,0.214164,-3.61156,0.416591,0.289865,-0.121814,0.791376,0.132382,0.0225479
01324180,1430220512786,-11.6351,1.85193,0.658827,0.361379,-0.13249,-0.0631753,0.877073,-0.108444,-0.232151
01324189,1430220512803,-9.81759,-0.78949,-1.69482,0.281961,0.115526,0.196308,0.837657,-0.0441844,-0.147156
01324188,1430220512803,-7.97413,-0.398942,-3.33937,0.258053,0.277898,-0.106935,0.793372,0.135696,0.0251319
01324180,1430220512803,-11.034,2.1414,1.12064,0.580159,-0.151996,-0.0215519,0.876562,-0.108554,-0.236312
01324189,1430220512819,-9.63235,-0.436617,-1.29273,0.362938,0.104435,0.265865,0.834157,-0.049419,-0.14796
01324188,1430220512819,-8.2757,-0.864403,-2.813,0.278963,0.21734,-0.175643,0.791865,0.139857,0.0263434
01324180,1430220512819,-10.3641,2.29729,1.73705,0.571716,-0.0833236,0.0367866,0.874987,-0.110252,-0.237263
01324189,1430220512836,-9.4286,0.0482453,-1.06098,0.326851,0.156639,0.308251,0.832783,-0.0535361,-0.144097
01324188,1430220512836,-8.83097,-0.624307,-2.37288,0.275223,0.172521,-0.278037,0.790768,0.142759,0.0296078
01324180,1430220512836,-9.63769,1.87986,2.76414,0.561807,-0.00440982,0.143386,0.876205,-0.114349,-0.231181
01324189,1430220512852,-9.66892,0.354388,-1.12965,0.182714,0.218639,0.334347,0.834396,-0.0570107,-0.139861
01324188,1430220512852,-9.53961,-0.0385632,-2.32453,0.148298,0.189631,-0.372656,0.788993,0.146549,0.0326688
01324180,1430220512852,-9.47929,1.18456,2.95037,0.627636,0.0494171,0.218699,0.874151,-0.121679,-0.229685
01324189,1430220512869,-9.81415,0.442453,-1.25138,0.0538499,0.263144,0.328526,0.836552,-0.0610726,-0.135101
01324188,1430220512869,-9.86188,0.434416,-2.21321,-0.0464338,0.227894,-0.412575,0.788823,0.151929,0.0351408
01324180,1430220512869,-8.90503,1.38713,2.69125,0.62561,0.0526453,0.234455,0.87446,-0.126462,-0.226829
01324189,1430220512886,-9.80613,0.420788,-1.54364,-0.0387368,0.281291,0.3033,0.836299,-0.0681039,-0.132746
01324188,1430220512886,-9.76308,1.02681,-2.1616,-0.210352,0.247221,-0.391362,0.786617,0.160263,0.0370203
01324180,1430220512886,-8.60511,1.80749,2.53456,0.606625,0.0639941,0.192252,0.874247,-0.129613,-0.230114
01324189,1430220512902,-9.79012,0.419002,-1.77756,-0.0932499,0.255001,0.258737,0.836854,-0.0724269,-0.131181
01324188,1430220512902,-9.63266,1.02359,-1.76552,-0.304219,0.276692,-0.32883,0.787257,0.165098,0.0415847
01324180,1430220512902,-8.54508,2.76968,2.4631,0.522971,0.0355974,0.198781,0.873748,-0.133074,-0.228831
01324189,1430220512919,-9.74002,0.380994,-2.01451,-0.0800672,0.208996,0.203771,0.83616,-0.07484,-0.128248
01324188,1430220512919,-9.562,1.1778,-1.78913,-0.275843,0.204852,-0.251535,0.785485,0.168499,0.0436869
01324180,1430220512919,-8.72366,2.766,2.384,0.348698,-0.0274127,0.207826,0.874581,-0.137147,-0.2257
01324189,1430220512935,-9.67409,0.399686,-2.13716,-0.0378158,0.156608,0.113374,0.835596,-0.0776842,-0.124518
01324188,1430220512935,-9.58082,1.31586,-1.86965,-0.174025,0.122409,-0.13404,0.783321,0.169765,0.0483318
01324180,1430220512935,-9.4117,1.93516,1.88695,0.199262,-0.0964826,0.179973,0.873443,-0.142757,-0.224989
01324189,1430220512952,-9.63758,0.414529,-2.1182,-0.00529021,0.0716073,0.0647698,0.836108,-0.0763905,-0.121971
01324188,1430220512952,-9.75732,1.32698,-1.64216,-0.0827703,0.0761598,-0.0427956,0.784662,0.170239,0.0500802
01324180,1430220512952,-9.78047,1.43783,1.47944,0.247992,-0.205663,0.175961,0.872425,-0.146339,-0.22612
01324189,1430220512968,-9.73011,0.502723,-1.94621,0.0182664,-0.00809753,-0.00339402,0.838284,-0.0787415,-0.120276
