ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430222143818,-9.42112,-2.27687,-0.780432,-0.00641836,0.0179675,-0.00389901,0.682284,0.363787,0.498743
01324188,1430222143818,-9.16934,-1.38785,-2.94064,0.0134173,0.00775441,-0.0195121,0.603897,-0.0144694,0.618545
01324180,1430222143818,-9.20541,1.80223,2.73066,0.0562574,-0.0286735,0.0361416,0.725601,-0.472276,0.0798484
01324189,1430222143821,-9.48686,-2.20926,-0.774411,-0.0124723,0.0197779,-0.000357012,0.680455,0.372466,0.499636
01324188,1430222143821,-9.203,-1.33271,-2.8783,-0.000494893,0.0133562,-0.0107032,0.600885,-0.00720574,0.619167
01324180,1430222143821,-9.21974,1.77264,2.77386,0.0494774,-0.048117,0.0421124,0.723556,-0.467748,0.0775466
01324189,1430222143837,-9.50994,-2.22951,-0.871472,-0.021994,-0.00429893,-0.000340721,0.681578,0.370555,0.497201
01324188,1430222143837,-9.28517,-1.323,-2.84406,0.00298013,0.00261119,-0.0205459,0.599816,-0.00856958,0.617758
01324180,1430222143837,-9.1852,1.73976,2.72568,0.0529272,-0.0409598,0.0360145,0.722739,-0.46658,0.077851
01324189,1430222143853,-9.54863,-2.28313,-0.890488,-0.0115117,-0.000943237,0.00324977,0.681039,0.366124,0.499445
01324188,1430222143853,-9.32883,-1.36832,-2.89144,-0.0144924,0.0172155,-0.0178544,0.60214,-0.0138876,0.619138
01324180,1430222143853,-9.17964,1.70664,2.66755,0.0686911,-0.0336302,0.0238482,0.72395,-0.469815,0.0838241
01324189,1430222143869,-9.53631,-2.24892,-0.861384,-0.0254935,0.00869232,-0.000371228,0.680776,0.364979,0.499171
01324188,1430222143869,-9.31915,-1.36367,-2.8723,0.01517,0.0079063,-0.0212928,0.601322,-0.0121609,0.61658
01324180,1430222143869,-9.0976,1.72208,2.66844,0.0633838,-0.0283617,0.0220786,0.724489,-0.469818,0.0827396
01324189,1430222143884,-9.57048,-2.23462,-0.873004,-0.0255507,0.00869443,-0.003919,0.680902,0.365124,0.500107
01324188,1430222143884,-9.32404,-1.3781,-2.87454,0.0204623,-0.00297515,-0.012526,0.602133,-0.012513,0.617618
01324180,1430222143884,-9.08314,1.73208,2.65172,0.0689606,-0.0277032,-0.0095314,0.724225,-0.470981,0.0848733
01324189,1430222143900,-9.56466,-2.29484,-0.831857,-0.0152884,0.00943675,-0.0172125,0.680923,0.366976,0.496779
01324188,1430222143900,-9.40115,-1.3057,-2.84331,0.015273,0.0050799,-9.69148e-05,0.602377,-0.00843026,0.616932
01324180,1430222143900,-9.29689,1.81707,2.59451,0.0602518,-0.00958026,-0.0384022,0.724489,-0.468059,0.0784687
01324189,1430222143916,-9.56479,-2.21954,-0.807335,0.00756319,-0.00199446,-0.00023464,0.68061,0.371306,0.498421
01324188,1430222143916,-9.32376,-1.29426,-2.79589,0.0134933,0.000538989,-0.0134239,0.602502,-0.00709443,0.619288
01324180,1430222143916,-9.31192,1.85053,2.60905,0.0241284,0.0240362,-0.0603621,0.724891,-0.468652,0.0797966
01324189,1430222143931,-9.56091,-2.2006,-0.865766,0.00219272,-0.00282467,-0.0100258,0.681857,0.365814,0.499433
01324188,1430222143931,-9.3145,-1.41217,-2.8334,0.0161619,0.00833648,0.0035013,0.601977,-0.00945847,0.620485
01324180,1430222143931,-9.24377,1.80752,2.64331,0.0023999,0.0296207,-0.0815858,0.72662,-0.469277,0.0825847
01324189,1430222143947,-9.53868,-2.26349,-0.863817,-0.00198876,-0.00622479,-0.000264032,0.679942,0.367016,0.499732
01324188,1430222143947,-9.28542,-1.39282,-2.85786,0.0274157,0.0126671,-0.0123007,0.601306,-0.00978694,0.618466
01324180,1430222143947,-9.23955,1.85593,2.63637,-0.00137272,0.057905,-0.0937086,0.726189,-0.467255,0.083977
01324189,1430222143963,-9.49257,-2.27297,-0.862102,0.000535797,-0.00195358,-0.00560294,0.680528,0.36397,0.497294
01324188,1430222143963,-9.25629,-1.36376,-2.89205,0.0448065,0.0250932,-0.0164666,0.6009,-0.0092534,0.616498
