ID,Timestamp,accelX (m/s^2),accelY (m/s^2),accelZ (m/s^2),gyroX (rad/s),gyroY (rad/s),gyroZ (rad/s),magnetX (uT),magnetY (uT),magnetZ (uT)
01324189,1430221811156,-9.85096,0.485463,-0.389043,-0.0080426,0.0144395,0.00277568,0.728324,-0.195233,0.316064
01324188,1430221811156,-9.66763,-0.658019,-1.93529,-0.0179426,0.00807171,-0.00407736,0.71278,-0.280614,0.262798
01324180,1430221811156,-9.28687,2.84381,1.51546,0.231389,0.00796161,-0.00921873,0.55763,-0.480505,-0.342142
01324189,1430221811192,-9.78299,0.47348,-0.365413,-0.0116528,0.00762025,0.00288567,0.729593,-0.192453,0.313369
01324188,1430221811192,-9.60975,-0.69458,-1.90894,-0.0205435,0.00882115,-0.00230738,0.711795,-0.273642,0.262442
01324180,1430221811192,-9.11585,3.04764,1.60525,0.168187,0.035195,-0.0252405,0.554957,-0.477835,-0.346884
01324189,1430221811208,-9.76838,0.439542,-0.37545,-0.00559213,0.00409629,0.000244681,0.72932,-0.192159,0.313375
01324188,1430221811208,-9.5133,-0.760266,-1.8754,-0.0231261,0.0280654,0.0111778,0.710866,-0.275814,0.262853
01324180,1430221811208,-9.00665,3.02487,1.59652,0.0480377,0.041493,-0.01192,0.555229,-0.478125,-0.347431
01324189,1430221811223,-9.76313,0.430065,-0.351212,-0.0134275,0.00763105,-0.000677166,0.730693,-0.196356,0.314528
01324188,1430221811223,-9.50382,-0.81333,-1.8774,-0.0196429,0.0094647,0.0012652,0.712494,-0.27804,0.263496
01324180,1430221811223,-8.89636,2.8852,1.68867,-0.0212557,0.0570809,-0.0175833,0.55747,-0.479072,-0.340231
01324189,1430221811238,-9.77287,0.449447,-0.346151,-0.00549142,0.000656494,0.00647173,0.72932,-0.1966,0.316012
01324188,1430221811238,-9.47474,-0.794079,-1.88743,0.00131367,0.00748286,0.00670087,0.711962,-0.279096,0.264638
01324180,1430221811238,-8.86069,2.70568,1.8137,-0.0310381,0.0385187,-0.0582682,0.557741,-0.479072,-0.341041
01324189,1430221811253,-9.78763,0.497883,-0.340945,-0.00470191,-0.00280777,0.00115245,0.728095,-0.194561,0.314973
01324188,1430221811253,-9.61025,-0.825417,-1.8163,0.0188173,0.0104834,0.0174535,0.710616,-0.279061,0.26439
01324180,1430221811253,-8.88089,2.72092,1.94892,-0.00826266,0.0475334,-0.0686026,0.559024,-0.475937,-0.33858
01324189,1430221811267,-9.81118,0.481134,-0.301685,-0.0220163,0.00602201,0.00641394,0.728356,-0.191985,0.314456
01324188,1430221811267,-9.64658,-0.844709,-1.79659,0.0178751,0.00968957,-0.000267449,0.710057,-0.275518,0.263015
01324180,1430221811267,-8.93791,2.97774,2.0247,0.00354004,0.0222096,-0.0712667,0.556095,-0.474712,-0.342004
01324189,1430221811282,-9.81645,0.47115,-0.335705,0.00917145,0.00395859,-0.000584632,0.729879,-0.193757,0.312688
01324188,1430221811282,-9.65862,-0.832409,-1.82549,0.000447542,0.0127575,0.00672554,0.710864,-0.275519,0.262738
01324180,1430221811282,-8.98311,3.1351,1.93087,-0.0449585,0.0194944,-0.117259,0.55821,-0.473016,-0.342538
